alg,fid,dim,iter,err
EAO,4,10,1,208.9235059750814
EAO,4,10,2,179.68697899361848
EAO,4,10,3,168.87462965265797
EAO,4,10,4,160.68029729317448
EAO,4,10,5,154.07029114809052
EAO,4,10,6,149.8233661520112
EAO,4,10,7,147.41788387660608
EAO,4,10,8,147.41788387660608
EAO,4,10,9,137.42874909912837
EAO,4,10,10,134.2012808134151
EAO,4,10,11,129.57374010735714
EAO,4,10,12,128.27157188759338
EAO,4,10,13,126.63435415967649
EAO,4,10,14,124.16151394819605
EAO,4,10,15,122.16719316447995
EAO,4,10,16,118.09998489891916
EAO,4,10,17,116.52489886434165
EAO,4,10,18,114.67274016928184
EAO,4,10,19,114.67274016928184
EAO,4,10,20,114.5146220635977
EAO,4,10,21,110.75881449565549
EAO,4,10,22,105.24374050020714
EAO,4,10,23,105.24374050020714
EAO,4,10,24,99.97270823706708
EAO,4,10,25,99.97270823706708
EAO,4,10,26,98.50683478393904
EAO,4,10,27,96.8056755248956
EAO,4,10,28,95.67817962979206
EAO,4,10,29,94.45414136886507
EAO,4,10,30,91.72342457782946
EAO,4,10,31,90.61946343074118
EAO,4,10,32,90.61946343074118
EAO,4,10,33,87.65826585273567
EAO,4,10,34,84.0797045122489
EAO,4,10,35,84.0797045122489
EAO,4,10,36,84.0797045122489
EAO,4,10,37,82.66172499166731
EAO,4,10,38,82.66172499166731
EAO,4,10,39,82.66172499166731
EAO,4,10,40,81.69033816503418
EAO,4,10,41,81.69033816503418
EAO,4,10,42,80.27770855500438
EAO,4,10,43,78.58347314174875
EAO,4,10,44,77.17242367489484
EAO,4,10,45,77.17242367489484
EAO,4,10,46,77.17242367489484
EAO,4,10,47,75.09674677400125
EAO,4,10,48,75.09674677400125
EAO,4,10,49,74.9455694834341
EAO,4,10,50,74.9455694834341
EAO,4,10,51,74.9455694834341
EAO,4,10,52,74.05337938904233
EAO,4,10,53,74.05337938904233
EAO,4,10,54,74.05337938904233
EAO,4,10,55,73.44782022472253
EAO,4,10,56,72.5278905691996
EAO,4,10,57,72.28915480641871
EAO,4,10,58,72.28915480641871
EAO,4,10,59,71.23276249082733
EAO,4,10,60,71.23276249082733
EAO,4,10,61,71.01038847136203
EAO,4,10,62,70.3459133704493
EAO,4,10,63,69.2912059724186
EAO,4,10,64,69.2912059724186
EAO,4,10,65,66.82706502238574
EAO,4,10,66,66.82706502238574
EAO,4,10,67,66.82706502238574
EAO,4,10,68,66.82706502238574
EAO,4,10,69,66.82706502238574
EAO,4,10,70,66.82706502238574
EAO,4,10,71,66.82706502238574
EAO,4,10,72,63.60885726851683
EAO,4,10,73,63.60885726851683
EAO,4,10,74,63.60885726851683
EAO,4,10,75,63.60885726851683
EAO,4,10,76,63.60885726851683
EAO,4,10,77,63.60885726851683
EAO,4,10,78,63.60885726851683
EAO,4,10,79,63.60885726851683
EAO,4,10,80,61.61444833178888
EAO,4,10,81,61.61444833178888
EAO,4,10,82,61.448777642472464
EAO,4,10,83,61.448777642472464
EAO,4,10,84,61.448777642472464
EAO,4,10,85,61.448777642472464
EAO,4,10,86,61.448777642472464
EAO,4,10,87,61.448777642472464
EAO,4,10,88,61.448777642472464
EAO,4,10,89,61.448777642472464
EAO,4,10,90,61.448777642472464
EAO,4,10,91,61.448777642472464
EAO,4,10,92,61.448777642472464
EAO,4,10,93,61.448777642472464
EAO,4,10,94,61.448777642472464
EAO,4,10,95,61.448777642472464
EAO,4,10,96,61.448777642472464
EAO,4,10,97,60.806654151544706
EAO,4,10,98,60.806654151544706
EAO,4,10,99,60.806654151544706
EAO,4,10,100,60.806654151544706
EAO,4,10,101,60.806654151544706
EAO,4,10,102,60.806654151544706
EAO,4,10,103,59.86308485408949
EAO,4,10,104,59.86308485408949
EAO,4,10,105,58.872597236964225
EAO,4,10,106,58.872597236964225
EAO,4,10,107,58.872597236964225
EAO,4,10,108,58.872597236964225
EAO,4,10,109,58.872597236964225
EAO,4,10,110,58.872597236964225
EAO,4,10,111,58.872597236964225
EAO,4,10,112,58.872597236964225
EAO,4,10,113,57.394353919647585
EAO,4,10,114,57.394353919647585
EAO,4,10,115,57.394353919647585
EAO,4,10,116,57.394353919647585
EAO,4,10,117,57.394353919647585
EAO,4,10,118,57.394353919647585
EAO,4,10,119,57.390267953741954
EAO,4,10,120,57.390267953741954
EAO,4,10,121,55.385238049757106
EAO,4,10,122,55.385238049757106
EAO,4,10,123,55.385238049757106
EAO,4,10,124,55.385238049757106
EAO,4,10,125,55.385238049757106
EAO,4,10,126,55.385238049757106
EAO,4,10,127,55.385238049757106
EAO,4,10,128,55.385238049757106
EAO,4,10,129,55.385238049757106
