alg,seed,c1_acc,c2_acc,feeds
EAO,2026,21,3543,0
EAO,2027,31,3349,0
EAO,2028,28,3322,0
EAO,2029,22,3352,0
EAO,2030,27,2536,0
EAO,2031,21,3182,0
EAO,2032,23,3381,0
EAO,2033,31,3496,0
EAO,2034,34,3167,0
EAO,2035,26,2954,0
EAO,2036,24,3327,0
EAO,2037,23,3238,0
EAO,2038,27,3435,0
EAO,2039,20,3230,0
EAO,2040,26,3143,0
EAO,2041,23,3458,0
EAO,2042,24,3318,0
EAO,2043,26,3343,0
EAO,2044,26,3430,0
EAO,2045,25,3233,0
EAO,2046,19,3409,0
EAO,2047,29,3180,0
EAO,2048,24,3476,0
EAO,2049,26,3097,0
EAO,2050,22,2970,0
EAO,2051,27,3572,0
EAO,2052,24,3068,0
EAO,2053,26,3334,0
EAO,2054,25,3301,0
EAO,2055,24,3113,0
RS-EAO,2026,1047,2690,0
RS-EAO,2027,516,3052,0
RS-EAO,2028,463,2309,0
RS-EAO,2029,810,2508,0
RS-EAO,2030,713,2625,0
RS-EAO,2031,646,3136,0
RS-EAO,2032,491,2288,0
RS-EAO,2033,850,2925,0
RS-EAO,2034,1135,2713,0
RS-EAO,2035,1092,2445,0
RS-EAO,2036,604,3165,0
RS-EAO,2037,653,2853,0
RS-EAO,2038,852,2779,0
RS-EAO,2039,679,2821,0
RS-EAO,2040,1214,2685,0
RS-EAO,2041,904,2604,0
RS-EAO,2042,768,2601,0
RS-EAO,2043,519,2370,0
RS-EAO,2044,762,2299,0
RS-EAO,2045,806,2760,0
RS-EAO,2046,1038,2550,0
RS-EAO,2047,670,2403,0
RS-EAO,2048,751,2674,0
RS-EAO,2049,384,1925,0
RS-EAO,2050,751,2460,0
RS-EAO,2051,1159,2596,0
RS-EAO,2052,1009,2678,0
RS-EAO,2053,767,2725,0
RS-EAO,2054,924,2706,0
RS-EAO,2055,560,2402,0
