t,AF,S,fed,best_f
1,0.044721359549995794,1.0,0,0.005087538254660353
2,0.06324555320336758,0.06906183952924652,0,0.005087538254660353
3,0.07745966692414834,0.08710748089288789,0,0.005087538254660353
4,0.08944271909999159,0.11325455060455171,0,0.005165516365632609
5,0.1,0.16200507195957004,0,0.005165516365632609
6,0.10954451150103323,0.15346741123455238,0,0.005297671285218346
7,0.11832159566199232,0.14119910748403042,0,0.005258564499250849
8,0.12649110640673517,0.13275941196670799,0,0.005249137653952311
9,0.1341640786499874,0.10228115769917819,0,0.005249137653952311
10,0.1414213562373095,0.09617652039479098,0,0.005245627203636754
11,0.14832396974191325,0.08481120237093542,0,0.005245627203636754
12,0.15491933384829668,0.06462619364463129,0,0.005245627203636754
13,0.161245154965971,0.060071411267683554,0,0.005245627203636754
14,0.1673320053068151,0.04454894903978897,0,0.005245627203636754
15,0.17320508075688773,0.04364357498319759,0,0.005245627203636754
16,0.17888543819998318,0.02893707441582813,0,0.005245627203636754
17,0.18439088914585774,0.024700474564251194,0,0.005245627203636754
18,0.18973665961010275,0.020064728569628546,0,0.005245627203636754
19,0.19493588689617927,0.017082563778246365,0,0.005245627203636754
20,0.2,0.015533803726284962,0,0.005245627203636754
21,0.20493901531919198,0.014012742816505849,0,0.005245627203636754
22,0.20976176963403032,0.011775095762877243,0,0.005245627203636754
23,0.21447610589527216,0.010431922660494971,0,0.0052453509982909215
24,0.21908902300206645,0.009443663652722919,0,0.0052453509982909215
25,0.22360679774997896,0.008040012886118785,0,0.0052453509982909215
26,0.22803508501982758,0.007092606068178334,0,0.0052453509982909215
27,0.232379000772445,0.006101359329350488,0,0.005245436939416215
28,0.23664319132398465,0.0050227281698945105,0,0.005245436939416215
29,0.24083189157584592,0.004396547656052314,0,0.005245408595873834
30,0.2449489742783178,0.0036480486049326657,0,0.005245408595873834
31,0.24899799195977465,0.0028748191319210832,0,0.005245408595873834
32,0.25298221281347033,0.0023591788426909994,0,0.005245413433943534
33,0.2569046515733026,0.0017511601935866331,0,0.005245413433943534
34,0.260768096208106,0.0012115215978569238,0,0.005245413433943534
35,0.2645751311064591,0.0010142621754596225,0,0.005245413433943534
36,0.2683281572999748,0.000777117751615586,0,0.005245413433943534
37,0.2720294101747089,0.0006806121337380402,0,0.005245413433943534
38,0.27568097504180444,0.000541701532461358,0,0.005245413433943534
39,0.2792848008753788,0.00044362425661113197,0,0.0052454168130641275
40,0.282842712474619,0.0003441229952369451,0,0.0052454168130641275
41,0.2863564212655271,0.00028731193955706003,0,0.0052454168130641275
42,0.28982753492378877,0.00023608948404283122,0,0.005245415829652108
43,0.29325756597230357,0.00013168540354726379,0,0.005245415551761161
44,0.2966479394838265,0.00010573869265327317,0,0.005245415551761161
45,0.3,8.6962826078733e-05,0,0.005245415551761161
46,0.30331501776206204,6.595330881317188e-05,0,0.0052454153738402546
47,0.3065941943351178,5.804516189104449e-05,0,0.0052454153738402546
48,0.30983866769659335,4.8472733714768046e-05,0,0.0052454153738402546
49,0.31304951684997057,4.0454584778756115e-05,0,0.0052454153738402546
50,0.31622776601683794,3.0850475539074404e-05,0,0.0052454153738402546
51,0.31937438845342625,2.42253125388357e-05,0,0.0052454153738402546
52,0.322490309931942,1.7106388403748215e-05,0,0.0052454153738402546
53,0.3255764119219941,1.5220087400000011e-05,0,0.0052454153738402546
54,0.3286335345030997,1.254658848919646e-05,0,0.005245415308669272
55,0.33166247903553997,9.933533878704245e-06,0,0.005245415290670956
56,0.3346640106136302,8.194195827928456e-06,0,0.005245415290670956
57,0.33763886032268264,6.318519200415434e-06,0,0.005245415290670956
58,0.34058772731852804,5.006489941493381e-06,0,0.00524541530515412
59,0.34351128074635334,3.400704131470749e-06,0,0.00524541530515412
60,0.34641016151377546,2.7192287645118403e-06,0,0.00524541530515412
61,0.3492849839314596,1.8756750919034666e-06,0,0.00524541530466352
62,0.35213633723318016,1.4446021752661035e-06,0,0.00524541530466352
63,0.35496478698597694,1.0878153683029528e-06,0,0.00524541530466352
64,0.35777087639996635,7.642320076704722e-07,0,0.00524541530466352
65,0.36055512754639896,6.619785465609182e-07,0,0.00524541530466352
66,0.363318042491699,4.923114921823431e-07,0,0.00524541530466352
67,0.36606010435446257,3.5434972243644134e-07,0,0.00524541530466352
68,0.3687817782917155,3.02728468280078e-07,0,0.00524541530466352
69,0.3714835124201342,1.9890146014185607e-07,0,0.00524541530466352
70,0.37416573867739417,1.477730240016194e-07,0,0.00524541530466352
71,0.37682887362833545,1.0596132861463083e-07,0,0.00524541530466352
72,0.3794733192202055,7.895233962847083e-08,0,0.00524541530466352
73,0.382099463490856,5.2855933936198354e-08,0,0.00524541530466352
74,0.3847076812334269,3.557406348472348e-08,0,0.005245415301750294
75,0.3872983346207417,2.296359966060472e-08,0,0.005245415301750294
76,0.38987177379235854,1.888207087150674e-08,0,0.005245415312120935
77,0.3924283374069717,1.3625228470644935e-08,0,0.005245415312120935
78,0.39496835316262996,1.0873162165727458e-08,0,0.005245415312120935
79,0.39749213828703583,8.227892241466749e-09,0,0.005245415312120935
80,0.4,7.310245638833709e-09,0,0.005245415312120935
81,0.40249223594996214,6.250049479688377e-09,0,0.005245415312120935
82,0.4049691346263318,4.602711834455883e-09,0,0.005245415312120935
83,0.4074309757492673,3.950493864217499e-09,0,0.005245415312120935
84,0.40987803063838396,3.565744816339357e-09,0,0.005245415312120935
85,0.41231056256176607,3.464290536550842e-09,0,0.005245415312120935
86,0.4147288270665544,3.3529594546973823e-09,0,0.005245415312120935
87,0.4171330722922842,2.9009109304981653e-09,0,0.005245415312120935
88,0.41952353926806063,2.721609847465402e-09,0,0.005245415312120935
89,0.4219004621945797,2.721609847465402e-09,0,0.005245415312120935
90,0.4242640687119285,2.6990890782647782e-09,0,0.005245415312120935
91,0.4266145801540308,2.795561364853993e-09,0,0.005245415312120935
92,0.4289522117905443,2.9049365373347045e-09,0,0.005245415312120935
93,0.4312771730569565,2.8340278979683263e-09,0,0.005245415312120935
94,0.433589667773576,2.8340278979683263e-09,0,0.005245415312120935
95,0.43588989435406733,2.5376203730399934e-09,0,0.005245415312120935
96,0.4381780460041329,2.5376203730399934e-09,0,0.005245415312120935
97,0.4404543109109048,0.03874048680718466,6,0.007244917122903812
98,0.4427188724235731,0.06548407691399362,0,0.008178885817313943
99,0.4449719092257398,0.0589535187274949,0,0.008178885817313943
100,0.4472135954999579,0.05443343238359528,0,0.008488746225423055
101,0.44944410108488464,0.06471381659004065,0,0.009787215887101861
102,0.45166359162544856,0.058039703900628896,0,0.011315778874571537
103,0.4538722287164087,0.06532991451270018,0,0.013451472702754524
104,0.45607017003965516,0.07009791053981249,0,0.014212904388671276
105,0.458257569495584,0.07325666192486395,0,0.017714421938202756
106,0.4604345773288535,0.07540189704150856,0,0.016282751444080933
107,0.4626013402488151,0.07340653191284699,0,0.01621980896747162
108,0.46475800154489,0.0648689990837579,0,0.015253763330834969
109,0.4669047011971501,0.05762416303681664,0,0.015124086934985707
110,0.469041575982343,0.0590410206546536,0,0.014556730314122069
111,0.47116875957558985,0.055774222404422355,0,0.014540408188940887
112,0.4732863826479693,0.05281383144091263,0,0.014220214045291836
113,0.4753945729601885,0.05584474679217194,0,0.014220214045291836
114,0.4774934554525329,0.052347033359955164,0,0.01421074213163945
115,0.47958315233127197,0.056842906377296186,0,0.01421074213163945
116,0.48166378315169184,0.043169185003876,0,0.014205777918389069
117,0.48373546489791297,0.03673858121965169,0,0.014205777918389069
118,0.48579831205964474,0.03590304889782186,0,0.014147392722616928
119,0.4878524367060187,0.03070528349272988,0,0.014008705684695333
120,0.4898979485566356,0.03333585068121023,0,0.01397874097303172
121,0.4919349550499537,0.027387350344484734,0,0.01397874097303172
122,0.4939635614091388,0.02408001083312786,0,0.01397874097303172
123,0.49598387070548977,0.022597810653045922,0,0.013919101221744203
124,0.4979959839195493,0.024463624265318902,0,0.013919101221744203
125,0.5,0.02273679635086671,0,0.013919101221744203
126,0.5019960159204453,0.02320790407802021,0,0.013826591617518345
127,0.5039841267341661,0.023005715092429248,0,0.013745473700553222
128,0.5059644256269407,0.03388966672184948,0,0.01358457340291203
129,0.5079370039680118,0.04043522474681458,0,0.013561258738678424
130,0.5099019513592785,0.038597405905061735,0,0.01353879863301731
131,0.5118593556827891,0.035861079428428616,0,0.013530417865570923
132,0.5138093031466052,0.03545782704998275,0,0.013474894255280126
133,0.5157518783291051,0.03191945140309533,0,0.013474894255280126
134,0.5176871642217914,0.026743039093404294,0,0.013465298622754562
135,0.5196152422706632,0.026778266435084522,0,0.013450393738881477
136,0.521536192416212,0.025936750002073593,0,0.013413710924003217
137,0.523450093132096,0.025580860861935235,0,0.01332943221424837
138,0.5253570214625479,0.03155667124806902,0,0.01332943221424837
139,0.5272570530585627,0.034062557084577505,0,0.01332943221424837
140,0.5291502622129182,0.035888237792652516,0,0.013302716623428907
141,0.5310367218940701,0.03372037575913998,0,0.013302716623428907
142,0.532916503778969,0.028841371700162186,0,0.013302716623428907
143,0.5347896782848375,0.028042043608984196,0,0.013288672490891369
144,0.5366563145999496,0.02760577690266582,0,0.013232788469813704
145,0.5385164807134504,0.028501806750852086,0,0.0132306123941895
146,0.5403702434442518,0.027580361467360055,0,0.0132306123941895
147,0.5422176684690383,0.02763999793777476,0,0.013194761866965473
148,0.5440588203494178,0.029205112295076788,0,0.013188450611370956
149,0.5458937625582472,0.026133914719020983,0,0.013188450611370956
150,0.5477225575051661,0.026649840619649024,0,0.013188450611370956
151,0.5495452665613635,0.0272569150843317,0,0.013182353216088521
152,0.5513619500836089,0.025593037256804188,0,0.013182353216088521
153,0.5531726674375732,0.02597232184617122,0,0.013176285911588006
154,0.5549774770204643,0.026423503717639494,0,0.013176285911588006
155,0.5567764362830022,0.0257240278024883,0,0.013176285911588006
156,0.5585696017507576,0.025910212720108496,0,0.013164411956102679
157,0.5603570290448759,0.02476267658989786,0,0.013164411956102679
158,0.5621387729022078,0.024636921268609148,0,0.013164411956102679
159,0.5639148871948674,0.024836539648188022,0,0.013164411956102679
160,0.565685424949238,0.024979794860942976,0,0.013164411956102679
161,0.5674504383644443,0.024852583501539266,0,0.013164411956102679
162,0.5692099788303083,0.02488467182124377,0,0.013163183663572222
163,0.5709640969448079,0.02492596163928624,0,0.013153768982942881
164,0.5727128425310541,0.025020452461880848,0,0.01315120631083488
165,0.5744562646538028,0.025223673197852257,0,0.013143997346036843
166,0.5761944116355173,0.02542681855150923,0,0.013134943935454257
167,0.5779273310719956,0.025678247544690082,0,0.01312981659377894
168,0.5796550698475775,0.026053566740709258,0,0.01312981659377894
169,0.5813776741499453,0.026313375680912802,0,0.0131210123276682
170,0.5830951894845301,0.026604493444765353,0,0.013118633692645114
171,0.5848076606885378,0.026794291104528124,0,0.013111533369846004
172,0.5865151319446071,0.027013581810574196,0,0.013110116946240527
173,0.5882176467941097,0.0273003138396887,0,0.013108915539751789
174,0.589915248150105,0.0274751391547082,0,0.013105294965936312
175,0.5916079783099616,0.027706807790017253,0,0.01309590618996327
176,0.593295878967653,0.028013661460408158,0,0.013080410644165853
177,0.5949789912257406,0.028482244859070433,0,0.013080410644165853
178,0.5966573556070519,0.02890255248931812,0,0.013080410644165853
179,0.5983310120660636,0.029192017124468603,0,0.013071564531291668
180,0.6,0.029357618842346028,0,0.013054752880534945
181,0.6016643582596529,0.02970436661152157,0,0.013051516344654639
182,0.6033241251599343,0.030140067147881006,0,0.013045085936250318
183,0.6049793384901669,0.030347967423163334,0,0.013042759216717928
184,0.6066300355241241,0.030588958365581037,0,0.013039274216380755
185,0.6082762530298219,0.030667338439971114,0,0.01303072671123993
186,0.6099180272790763,0.030936334814238728,0,0.01303072671123993
187,0.6115553940568262,0.031010215606147286,0,0.013025631732496414
188,0.6131883886702356,0.031164118739975707,0,0.013019343457551543
189,0.6148170459575759,0.03135426829679948,0,0.013019343457551543
190,0.6164414002968976,0.03143698151620684,0,0.013016649036327313
191,0.6180614856144977,0.031656689338744846,0,0.0130109471802584
192,0.6196773353931867,0.03178383662931391,0,0.013008639253137637
193,0.6212889826803627,0.03198422611089457,0,0.013004987789964288
194,0.6228964600958975,0.032117246529826705,0,0.013003683491048976
195,0.6244997998398398,0.032230395405675995,0,0.013003683491048976
196,0.6260990336999411,0.032299277074838074,0,0.01300220918972316
197,0.6276941930590086,0.03236837096445417,0,0.012998766956408954
198,0.6292853089020909,0.03249756903414027,0,0.012994368327864962
199,0.6308724118235002,0.03257260371970875,0,0.012994368327864962
200,0.6324555320336759,0.03264954584985284,0,0.01299316511451403
201,0.6340346993658943,0.03271079216209332,0,0.012990343922123075
202,0.6356099432828282,0.03282023168278046,0,0.012990343922123075
203,0.6371812928829597,0.032969170124823276,0,0.01298994780765674
204,0.6387487769068525,0.03306197711093806,0,0.01298754062536781
205,0.6403124237432849,0.03309297872083832,0,0.012986985654051583
206,0.6418722614352484,0.03322707299354262,0,0.012986087135961794
207,0.6434283176858164,0.03332812711599335,0,0.01298462609292417
208,0.644980619863884,0.03338535734489362,0,0.012983392567854963
209,0.6465291950097846,0.03343025629829841,0,0.012981561449632091
210,0.648074069840786,0.03351242257093966,0,0.012977797343266068
211,0.6496152707564686,0.03359708291600001,0,0.01297703345496342
212,0.6511528238439882,0.033694290968273116,0,0.012975260690982813
213,0.6526867548832288,0.033810209870389796,0,0.012971163252112498
214,0.6542170893518451,0.03393296459051958,0,0.012968958487323051
215,0.6557438524302001,0.034062121416928756,0,0.012968017548964875
216,0.6572670690061994,0.03415008253188485,0,0.012966839869810997
217,0.6587867636800242,0.0342607387757356,0,0.01296395029017078
218,0.6603029607687672,0.03439577754031299,0,0.012961817226311335
219,0.6618156843109719,0.034517390207788774,0,0.012961749023240527
220,0.6633249580710799,0.0345844960512719,0,0.012960209783130082
221,0.6648308055437865,0.034665721696301666,0,0.012960209783130082
222,0.6663332499583072,0.03470868862567843,0,0.012959538710526982
223,0.66783231428256,0.034765293837298226,0,0.012957478091208355
224,0.6693280212272604,0.03482596771626248,0,0.012957478091208355
225,0.6708203932499369,0.034861209789664775,0,0.012957478091208355
226,0.6723094525588644,0.03490170864976236,0,0.012956399100778228
227,0.6737952211169207,0.034925752531273155,0,0.01295417609297546
228,0.6752777206453653,0.034988765912045146,0,0.01295377256972476
229,0.6767569726275452,0.03502595529707914,0,0.012951323583933007
230,0.6782329983125268,0.035113103108376564,0,0.01295014603546128
231,0.6797058187186572,0.03519632307012673,0,0.012949222800961212
232,0.6811754546370561,0.03529947382048267,0,0.012948825190092527
233,0.6826419266350405,0.03534510683168895,0,0.01294811869836245
234,0.6841052550594828,0.03541272355452193,0,0.012946230073066653
235,0.6855654600401044,0.03547867440281347,0,0.012945921137251877
236,0.6870225614927067,0.035556018351404144,0,0.012942011002748074
237,0.6884765791223402,0.03563435323845726,0,0.012941398756518889
238,0.6899275324264136,0.035758830465663215,0,0.012939594534531909
239,0.6913754406977441,0.03585113973902622,0,0.012935388275274878
240,0.6928203230275509,0.03600772041597227,0,0.012935388275274878
241,0.6942621983083913,0.0361103704140212,0,0.012935193302179815
242,0.6957010852370434,0.036191869999048595,0,0.012934895030950801
243,0.697137002317335,0.03622315575277052,0,0.012934895030950801
244,0.6985699678629192,0.036275878947944554,0,0.012934895030950801
245,0.7,0.03631720223249974,0,0.01293419306977864
246,0.7014271166700072,0.036358833743722715,0,0.012933871435813442
247,0.7028513356322231,0.02099235098868667,0,0.012931750361558313
248,0.7042726744663603,0.00890076421170592,0,0.012931750361558313
249,0.705691150575094,0.006566372461887181,0,0.012931120211987472
250,0.7071067811865476,0.003507584558292032,0,0.012930637668587552
251,0.708519583356734,0.001360275593505708,0,0.012930637668587552
252,0.7099295739719539,0.0010716783346680725,0,0.012930637668587552
253,0.7113367697511496,0.000935872830143802,0,0.012929810204984434
254,0.7127411872482184,0.0006145659271770765,0,0.012929810204984434
255,0.714142842854285,0.0006476774868113197,0,0.012929581726910298
256,0.7155417527999327,0.000575969529949439,0,0.012929581726910298
257,0.7169379331573968,0.00043841138827527135,0,0.012929167958819088
258,0.7183313998427189,0.00039857260884379296,0,0.012929167958819088
259,0.7197221686178633,0.00030552740296229704,0,0.012928698993019853
260,0.7211102550927979,0.0002937015187173481,0,0.012928698993019853
261,0.7224956747275377,0.0002638393577851,0,0.012928158366059494
262,0.7238784428341544,0.0003355318918362008,0,0.012927702417258559
263,0.7252585745787499,0.0003186218813113238,0,0.012927610186324894
264,0.726636084983398,0.0003337100377095554,0,0.01292736076684443
265,0.7280109889280518,0.00028656915990820877,0,0.01292736076684443
266,0.7293833011524188,0.00024492494494050664,0,0.0129261780756787
267,0.7307530362578044,0.00038600989461911716,0,0.0129261780756787
268,0.7321202087089251,0.00047444315863728594,0,0.012925849904615075
269,0.73348483283569,0.0004005019509991148,0,0.012925567880893612
270,0.7348469228349535,0.00036594371607528254,0,0.012925480981444968
271,0.7362064927722385,0.0003199004266316787,0,0.012925159702126167
272,0.737563556583431,0.0002777861727664642,0,0.012925159702126167
273,0.7389181280764466,0.00016670592952541702,0,0.012925159702126167
274,0.7402702209328699,0.00012793130269561374,0,0.012925117556609337
275,0.7416198487095663,0.00010888639583535854,0,0.012924970918220433
276,0.7429670248402684,0.00011244866876286977,0,0.012924912810670154
277,0.7443117626371358,0.00013266796415308023,0,0.01292477875960248
278,0.74565407529229,0.0001586107599969927,0,0.01292474567365885
279,0.7469939758793239,0.0001318742162583339,0,0.012924356650508746
280,0.7483314773547883,0.00015307009801186064,0,0.012924255595438907
281,0.7496665925596525,0.00016833799683925598,0,0.012923878549156505
282,0.7509993342207435,0.00019685606421874195,0,0.012923525085298494
283,0.752329714952161,0.0002442693586807654,0,0.012923426287272352
284,0.7536577472566709,0.00020959699820908588,0,0.012923189997965503
285,0.7549834435270749,0.0002099371902670298,0,0.012922992344324332
286,0.7563068160475614,0.0001668848314404663,0,0.012922849420937096
287,0.7576278769950324,0.00021412566082152398,0,0.012922463205427974
288,0.758946638440411,0.00019859571641858662,0,0.012922463205427974
289,0.7602631123499285,0.00023946823075738735,0,0.01292227918796972
290,0.7615773105863908,0.00016663506767780563,0,0.012922202037930396
291,0.762889244910426,0.00014199589922093858,0,0.012922175554509772
292,0.764198926981712,0.00012660199425044928,0,0.012921826243057993
293,0.7655063683601855,0.00014766890643763954,0,0.012921755011680037
294,0.7668115805072325,0.00013544688679863068,0,0.01292163806815463
295,0.7681145747868608,0.00012081035149525478,0,0.012921508263121384
296,0.7694153624668538,0.0001179698954289044,0,0.012921456069259974
297,0.7707139547199077,0.00010296366869876613,0,0.012921327541812598
298,0.7720103626247513,9.093099399747741e-05,0,0.012921290161456779
299,0.7733045971672482,8.14440871945698e-05,0,0.012921260004606262
300,0.7745966692414834,7.032577191609094e-05,0,0.012921107417007131
301,0.7758865896508329,8.653357613654289e-05,0,0.012921062860976334
302,0.7771743691090179,7.792661696546522e-05,0,0.012920934008292811
303,0.7784600182411425,9.823027912817736e-05,0,0.012920586803584053
304,0.7797435475847171,0.00017465827968491556,0,0.012920325083956552
305,0.7810249675906654,0.0001621162576460305,0,0.01291983597065514
306,0.7823042886243179,0.00020728224761095,0,0.012918781423375506
307,0.7835815209663893,0.0003895057013410867,0,0.012918781423375506
308,0.7848566748139434,0.00035505895034347693,0,0.012918781423375506
309,0.7861297602813418,0.00032716910425141933,0,0.012918078261754248
310,0.7874007874011811,0.0004258115812663512,0,0.012918078261754248
311,0.7886697661252141,0.00033036800526535217,0,0.01291782664878238
312,0.7899367063252599,0.00030585346524556655,0,0.012917782208468724
313,0.7912016177940993,0.0002483959430609045,0,0.012917221954800398
314,0.792464510246358,0.00026311210565073824,0,0.012917073606883463
315,0.7937253933193772,0.0002608197533114373,0,0.012916165268337094
316,0.7949842765740717,0.0003142002659982586,0,0.012915454048862336
317,0.7962411694957753,0.0003204434256560464,0,0.012914835451362605
318,0.7974960814950754,0.00046500346270001027,0,0.012913175404295277
319,0.7987490219086343,0.0006727407328594654,0,0.012912244875345643
320,0.8,0.0006031959910625682,0,0.012912081577456694
321,0.8012490249604052,0.0005606639315414752,0,0.012911945079423712
322,0.8024961059095552,0.0004146385275965469,0,0.012911536811471148
323,0.8037412518964048,0.00028769617197221283,0,0.012911363342442401
324,0.8049844718999243,0.000259199679630857,0,0.01291104403156453
325,0.806225774829855,0.0002489414519105236,0,0.012911013924228814
326,0.807465169527454,0.00023529249160991446,0,0.012910921158420307
327,0.8087026647662292,0.00018376203140516896,0,0.012910533708692827
328,0.8099382692526635,0.00019723480284291535,0,0.012910482535440882
329,0.8111719916269299,0.00018407530148149883,0,0.012910482535440882
330,0.812403840463596,0.00012725182950868317,0,0.012910439405661016
331,0.8136338242723197,0.00010418459242976256,0,0.012910439405661016
332,0.8148619514985346,8.259353666985736e-05,0,0.01291038601871055
333,0.8160882305241266,6.211666890833496e-05,0,0.01291038601871055
334,0.817312669668102,4.418840848332143e-05,0,0.012910313151994536
335,0.8185352771872451,4.9429950317004895e-05,0,0.012910284998118042
