alg,fid,dim,seed,f,err,nfe
EAO,4,10,2026,861.0326729041651,61.03267290416511,15030
EAO,4,10,2027,835.759353040465,35.759353040465044,15030
EAO,4,10,2028,842.4867297321122,42.48672973211217,15030
EAO,4,10,2029,845.706621587408,45.706621587407994,15030
EAO,4,10,2030,828.3428064933405,28.342806493340504,15030
EAO,4,10,2031,859.0820125603019,59.082012560301905,15030
EAO,4,10,2032,836.0281899338239,36.02818993382391,15030
EAO,4,10,2033,849.2384697717725,49.23846977177254,15030
EAO,4,10,2034,842.9845667906582,42.984566790658164,15030
EAO,4,10,2035,821.9221840297104,21.922184029710365,15030
EAO,4,10,2036,842.1471581215487,42.14715812154873,15030
EAO,4,10,2037,817.6323217773185,17.632321777318452,15030
EAO,4,10,2038,852.8639127633244,52.86391276332438,15030
EAO,4,10,2039,858.030488408875,58.030488408875044,15030
EAO,4,10,2040,840.2552704013474,40.25527040134739,15030
EAO,4,10,2041,857.2578238289946,57.25782382899456,15030
EAO,4,10,2042,832.0,32.0,15030
EAO,4,10,2043,834.9883660010121,34.98836600101208,15030
EAO,4,10,2044,845.4890342686405,45.48903426864047,15030
EAO,4,10,2045,836.6786359399939,36.67863593999391,15030
EAO,4,10,2046,833.2759540863881,33.27595408638808,15030
EAO,4,10,2047,876.3999418866462,76.39994188664616,15030
EAO,4,10,2048,860.4193955146967,60.4193955146967,15030
EAO,4,10,2049,856.7500474986089,56.750047498608865,15030
EAO,4,10,2050,861.457996758905,61.45799675890498,15030
EAO,4,10,2051,840.0318125952481,40.031812595248084,15030
EAO,4,10,2052,838.8082086841657,38.80820868416572,15030
EAO,4,10,2053,828.2491885647515,28.249188564751535,15030
EAO,4,10,2054,863.4197845680361,63.41978456803611,15030
EAO,4,10,2055,853.2528863150822,53.25288631508215,15030
EAO,6,10,2026,7520.185490077474,5720.185490077474,15030
EAO,6,10,2027,5514.660552026673,3714.660552026673,15030
EAO,6,10,2028,2140.044950345043,340.04495034504316,15030
EAO,6,10,2029,4910.024402797923,3110.0244027979234,15030
EAO,6,10,2030,2661.1221228655654,861.1221228655654,15030
EAO,6,10,2031,2022.103950426774,222.10395042677396,15030
EAO,6,10,2032,7667.297245416047,5867.297245416047,15030
EAO,6,10,2033,5624.703704683594,3824.703704683594,15030
EAO,6,10,2034,3390.9484648503085,1590.9484648503085,15030
EAO,6,10,2035,4721.166474515636,2921.166474515636,15030
EAO,6,10,2036,2612.9201930253193,812.9201930253193,15030
EAO,6,10,2037,3723.938067191094,1923.938067191094,15030
EAO,6,10,2038,7467.403890980039,5667.403890980039,15030
EAO,6,10,2039,4034.3793071379228,2234.3793071379228,15030
EAO,6,10,2040,3850.895161685137,2050.895161685137,15030
EAO,6,10,2041,3855.9257525297303,2055.9257525297303,15030
EAO,6,10,2042,4225.652888527703,2425.652888527703,15030
EAO,6,10,2043,8660.961139568537,6860.961139568537,15030
EAO,6,10,2044,5635.387421501761,3835.3874215017613,15030
EAO,6,10,2045,4404.5846167593645,2604.5846167593645,15030
