t,AF,seed,curve,S,variant
1,0.0776150525706333,1000,59616783.75279838,,EAO
2,0.10976425998969035,1000,59616783.75279838,,EAO
3,0.13443321448446624,1000,59616783.75279838,,EAO
4,0.1552301051412666,1000,59616783.75279838,,EAO
5,0.17355253362515582,1000,59616783.75279838,,EAO
6,0.19011727515734336,1000,59616783.75279838,,EAO
7,0.20535012709710013,1000,59616783.75279838,,EAO
8,0.2195285199793807,1000,59616783.75279838,,EAO
9,0.23284515771189987,1000,24958959.082286056,,EAO
10,0.245440346836908,1000,6118821.933544259,,EAO
11,0.2574200074605,1000,3772961.300299925,,EAO
12,0.2688664289689325,1000,3772961.300299925,,EAO
13,0.2798450517912514,1000,2989708.509029049,,EAO
14,0.2904089347757578,1000,2022688.1604068363,,EAO
15,0.3006018060210759,1000,2022688.1604068363,,EAO
16,0.3104602102825332,1000,2022688.1604068363,,EAO
17,0.32001505988658857,1000,2022688.1604068363,,EAO
18,0.329292779969071,1000,2022688.1604068363,,EAO
19,0.33831617065298725,1000,1687000.610356343,,EAO
20,0.34710506725031165,1000,1300308.987963186,,EAO
21,0.3556768534729039,1000,660441.8622173899,,EAO
22,0.3640468657768224,1000,660441.8622173899,,EAO
23,0.37222871580181704,1000,312382.6479691202,,EAO
24,0.3802345503146867,1000,312382.6479691202,,EAO
25,0.38807526285316646,1000,229630.08025176777,,EAO
26,0.39576066760618894,1000,229630.08025176777,,EAO
27,0.40329964345339875,1000,164657.07012361832,,EAO
28,0.41070025419420025,1000,164657.07012361832,,EAO
29,0.4179698496072688,1000,140846.71077697683,,EAO
30,0.4251151509488518,1000,55509.57828768528,,EAO
31,0.43214232372195066,1000,55509.57828768528,,EAO
32,0.4390570399587614,1000,55509.57828768528,,EAO
33,0.4458645318063454,1000,55509.57828768528,,EAO
34,0.4525696378552518,1000,55509.57828768528,,EAO
35,0.4591768433773375,1000,53110.035471337054,,EAO
36,0.46569031542379974,1000,49925.48288915822,,EAO
37,0.4721139335637747,1000,48096.70820249227,,EAO
38,0.4784513169075851,1000,24253.228879358998,,EAO
39,0.4847058479491913,1000,24253.228879358998,,EAO
40,0.490880693673816,1000,17038.038863056263,,EAO
41,0.49697882430464674,1000,17038.038863056263,,EAO
42,0.5030030300035687,1000,15695.730720586194,,EAO
43,0.5089559357923957,1000,15695.730720586194,,EAO
44,0.514840014921,1000,14024.539115262045,,EAO
45,0.5206576008754674,1000,14024.539115262045,,EAO
46,0.5264108981916501,1000,13114.485715757442,,EAO
47,0.532101992216231,1000,11454.062736666227,,EAO
48,0.537732857937865,1000,9813.462023700611,,EAO
49,0.543305367994433,1000,9392.496062172177,,EAO
50,0.5488212999484517,1000,8267.514931371355,,EAO
51,0.5542823429107684,1000,8267.514931371355,,EAO
52,0.5596901035825028,1000,7126.33270961657,,EAO
53,0.5650461117764947,1000,7126.33270961657,,EAO
54,0.5703518254720301,1000,7126.33270961657,,EAO
55,0.5756086354501809,1000,7047.479100949338,,EAO
56,0.5808178695515156,1000,7047.479100949338,,EAO
57,0.5859807965931167,1000,6771.9005671459545,,EAO
58,0.5910986299776424,1000,6676.374835748986,,EAO
59,0.5961725310235183,1000,6539.8233039450715,,EAO
60,0.6012036120421518,1000,6354.946851159712,,EAO
61,0.6061929391852666,1000,6261.965387535117,,EAO
62,0.6111415350830072,1000,6261.965387535117,,EAO
63,0.6160503812913004,1000,6065.225532154513,,EAO
64,0.6209204205650664,1000,6064.841382814504,,EAO
65,0.6257525589721875,1000,5920.316655615384,,EAO
66,0.6305476678616638,1000,5908.328380441383,,EAO
67,0.6353065856980591,1000,5831.783451323088,,EAO
68,0.6400301197731771,1000,5468.069837863384,,EAO
69,0.6447190478048633,1000,5023.25689762469,,EAO
70,0.6493741194318972,1000,4721.727392154753,,EAO
71,0.6539960576131129,1000,4340.5743705568375,,EAO
72,0.658585559938142,1000,4340.5743705568375,,EAO
73,0.6631432998565079,1000,4318.127393588878,,EAO
74,0.6676699278312005,1000,4120.949760070349,,EAO
75,0.6721660724223313,1000,3886.188125161563,,EAO
76,0.6766323413059745,1000,3665.452307044724,,EAO
77,0.6810693222328744,1000,3487.1931417668284,,EAO
78,0.6854775839312977,1000,3249.2340358537012,,EAO
79,0.6898576769579587,1000,3096.4845580186484,,EAO
80,0.6942101345006233,1000,3063.8127568612026,,EAO
81,0.6985354731356996,1000,2835.893662866558,,EAO
82,0.7028341935438669,1000,2733.452807251935,,EAO
