t,AF,S,fed,seed,curve,variant
1,0.09090909090909094,1.0,0,1000,59616783.75279838,EAO+M1
2,0.10124078353939003,0.8877442321561316,0,1000,59616783.75279838,EAO+M1
3,0.09788405698320568,0.9216168299721927,0,1000,59616783.75279838,EAO+M1
4,0.0991119375087135,0.9089601970621195,0,1000,59616783.75279838,EAO+M1
5,0.09958358850070992,0.9041815273536468,0,1000,59616783.75279838,EAO+M1
6,0.0967374283784217,0.9337260528449819,0,1000,59616783.75279838,EAO+M1
7,0.09615146643218553,0.9400257397065173,0,1000,59616783.75279838,EAO+M1
8,0.09620837278474836,0.9394105742099473,0,1000,59616783.75279838,EAO+M1
9,0.09836903703469435,0.9165800440308308,0,1000,37197865.69179225,EAO+M1
10,0.0954487719841226,0.9476824156169823,0,1000,37197865.69179225,EAO+M1
11,0.09603427047748592,0.9412949408872104,0,1000,28145255.029663272,EAO+M1
12,0.09697192991254044,0.9312262537230176,0,1000,11711152.664902514,EAO+M1
13,0.09199100582275355,0.9870627960376696,0,1000,2799903.0578493155,EAO+M1
14,0.09272156724891056,0.9784977321570789,0,1000,2799903.0578493155,EAO+M1
15,0.09304042802705181,0.9748015902390812,0,1000,2799903.0578493155,EAO+M1
16,0.09267114447955316,0.9790845474241876,0,1000,2799903.0578493155,EAO+M1
17,0.09547466353912948,0.9473982970258479,0,1000,2799903.0578493155,EAO+M1
18,0.0951448879165564,0.9510286174040345,0,1000,463629.74386684457,EAO+M1
19,0.09536892176338285,0.948559616183009,0,1000,463629.74386684457,EAO+M1
20,0.09378553629380404,0.9662624958152173,0,1000,463629.74386684457,EAO+M1
21,0.09374482545252383,0.9667255447677375,0,1000,463629.74386684457,EAO+M1
22,0.09488181388329142,0.9539427515899335,0,1000,463629.74386684457,EAO+M1
23,0.09477460835764606,0.9551349325827363,0,1000,463629.74386684457,EAO+M1
24,0.0983523369912257,0.9167526574271571,0,1000,463629.74386684457,EAO+M1
25,0.0992248216531133,0.9078123430606584,0,1000,463629.74386684457,EAO+M1
26,0.1005392990358609,0.8946359379761686,0,1000,463629.74386684457,EAO+M1
27,0.09856663783979025,0.9145420620163549,0,1000,463629.74386684457,EAO+M1
28,0.09701943037261629,0.930721368038717,0,1000,463629.74386684457,EAO+M1
29,0.09809921188667836,0.9193761812838762,0,1000,463629.74386684457,EAO+M1
30,0.10043159671580515,0.8957025803639622,0,1000,463629.74386684457,EAO+M1
31,0.09748882428407679,0.9257586008895312,0,1000,154242.32832134515,EAO+M1
32,0.0971835247181091,0.9289809953905287,0,1000,154242.32832134515,EAO+M1
33,0.09862841427570668,0.9139065981580037,0,1000,154242.32832134515,EAO+M1
34,0.09923169947903754,0.9077424908068297,0,1000,154242.32832134515,EAO+M1
35,0.10155063771308592,0.8847303990599548,0,1000,154242.32832134515,EAO+M1
36,0.10077670025127194,0.8922928588717888,0,1000,154242.32832134515,EAO+M1
37,0.10111770932009223,0.888946453320515,0,1000,154242.32832134515,EAO+M1
38,0.10241657276788341,0.8764044753444313,0,1000,154242.32832134515,EAO+M1
39,0.10210320058347166,0.8794012276652168,0,1000,154242.32832134515,EAO+M1
