alg,fid,dim,seed,f,err,nfe
EAO,1,10,2026,300.0000000000003,2.8421709430404007e-13,15030
EAO,1,10,2027,300.0000000000406,4.058620106661692e-11,15030
EAO,1,10,2028,300.0000000890942,8.909421467251377e-08,15030
EAO,1,10,2029,300.00000000000114,1.1368683772161603e-12,15030
EAO,1,10,2030,300.00000000000165,1.6484591469634324e-12,15030
EAO,1,10,2031,300.00000000000216,2.1600499167107046e-12,15030
EAO,1,10,2032,300.00000052664376,5.26643759712897e-07,15030
EAO,1,10,2033,300.0000000247637,2.476372173987329e-08,15030
EAO,1,10,2034,300.000002140977,2.140977017006662e-06,15030
EAO,1,10,2035,300.00000000000045,4.547473508864641e-13,15030
EAO,1,10,2036,300.00000000007606,7.605649443576112e-11,15030
EAO,1,10,2037,300.00000000359535,3.595346242946107e-09,15030
EAO,1,10,2038,300.00000082377625,8.237762472163013e-07,15030
EAO,1,10,2039,300.00000000000074,7.389644451905042e-13,15030
EAO,1,10,2040,300.00000564988534,5.649885338243621e-06,15030
EAO,1,10,2041,300.00000000000017,1.7053025658242404e-13,15030
EAO,1,10,2042,300.0000000000002,2.2737367544323206e-13,15030
EAO,1,10,2043,300.00000015962155,1.596215497556841e-07,15030
EAO,1,10,2044,300.0000000065284,6.52840981274494e-09,15030
EAO,1,10,2045,300.0000000000005,5.115907697472721e-13,15030
EAO,1,10,2046,300.00000000000375,3.751665644813329e-12,15030
EAO,1,10,2047,300.0000002311004,2.311003868271655e-07,15030
EAO,1,10,2048,300.00000000008777,8.776623872108757e-11,15030
EAO,1,10,2049,300.00000000643934,6.4393361753900535e-09,15030
EAO,1,10,2050,300.0000000000067,6.707523425575346e-12,15030
EAO,1,10,2051,300.0000000000261,2.609112925711088e-11,15030
EAO,1,10,2052,300.0000000013589,1.3588987712864764e-09,15030
EAO,1,10,2053,300.0000000000032,3.183231456205249e-12,15030
EAO,1,10,2054,300.00000000000034,3.410605131648481e-13,15030
EAO,1,10,2055,300.0000084831909,8.483190924835071e-06,15030
EAO,2,10,2026,400.0988085233818,0.09880852338181967,15030
EAO,2,10,2027,408.91610254569645,8.916102545696447,15030
EAO,2,10,2028,408.91610193691145,8.916101936911446,15030
EAO,2,10,2029,405.87676464919775,5.876764649197753,15030
EAO,2,10,2030,400.0878401186677,0.0878401186677138,15030
EAO,2,10,2031,404.526716673896,4.526716673895976,15030
EAO,2,10,2032,400.00061564706766,0.0006156470676614845,15030
EAO,2,10,2033,405.9569559269049,5.956955926904925,15030
EAO,2,10,2034,408.91611590030436,8.916115900304362,15030
EAO,2,10,2035,400.039909576604,0.03990957660397498,15030
EAO,2,10,2036,408.91610533305993,8.916105333059932,15030
EAO,2,10,2037,405.4140260891089,5.414026089108916,15030
EAO,2,10,2038,400.05811583455875,0.05811583455874825,15030
EAO,2,10,2039,400.0090736932184,0.009073693218397239,15030
EAO,2,10,2040,406.97338234559834,6.973382345598338,15030
EAO,2,10,2041,408.9161019285648,8.916101928564785,15030
EAO,2,10,2042,408.9161619382331,8.916161938233074,15030
EAO,2,10,2043,408.91610192882354,8.916101928823537,15030
EAO,2,10,2044,405.2757303381176,5.275730338117626,15030
EAO,2,10,2045,405.69415468782313,5.694154687823129,15030
EAO,2,10,2046,408.91610192779984,8.916101927799843,15030
EAO,2,10,2047,403.9874024421024,3.9874024421023933,15030
EAO,2,10,2048,408.9161020511,8.916102051099983,15030
EAO,2,10,2049,400.0802733453957,0.0802733453957103,15030
EAO,2,10,2050,400.0027462607099,0.0027462607098982517,15030
EAO,2,10,2051,406.3311078023314,6.331107802331417,15030
EAO,2,10,2052,408.91610257413555,8.91610257413555,15030
EAO,2,10,2053,408.9161020189599,8.916102018959918,15030
EAO,2,10,2054,406.1128339128869,6.112833912886913,15030
EAO,2,10,2055,405.46521029246514,5.4652102924651444,15030
EAO,3,10,2026,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2027,600.0000000000005,4.547473508864641e-13,15030
EAO,3,10,2028,600.0000000000002,2.2737367544323206e-13,15030
EAO,3,10,2029,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2030,600.0000000000008,7.958078640513122e-13,15030
EAO,3,10,2031,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2032,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2033,600.0000000000002,2.2737367544323206e-13,15030
EAO,3,10,2034,600.0000000000016,1.5916157281026244e-12,15030
EAO,3,10,2035,600.0000000000003,3.410605131648481e-13,15030
EAO,3,10,2036,600.0000000000015,1.4779288903810084e-12,15030
EAO,3,10,2037,600.0000000000003,3.410605131648481e-13,15030
EAO,3,10,2038,600.0000000000003,3.410605131648481e-13,15030
EAO,3,10,2039,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2040,600.0000000000002,2.2737367544323206e-13,15030
EAO,3,10,2041,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2042,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2043,600.0000000000002,2.2737367544323206e-13,15030
EAO,3,10,2044,600.0000000000005,4.547473508864641e-13,15030
EAO,3,10,2045,600.0000000000003,3.410605131648481e-13,15030
EAO,3,10,2046,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2047,600.0000000000006,5.684341886080801e-13,15030
EAO,3,10,2048,600.0000000000003,3.410605131648481e-13,15030
EAO,3,10,2049,600.0000000000002,2.2737367544323206e-13,15030
EAO,3,10,2050,600.0000000000007,6.821210263296962e-13,15030
EAO,3,10,2051,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2052,600.0000000000027,2.7284841053187847e-12,15030
EAO,3,10,2053,600.0000000000001,1.1368683772161603e-13,15030
EAO,3,10,2054,600.0000000000013,1.2505552149377763e-12,15030
