dim,fid,alg,p,p_holm,sign
10,1,EAO,1.5711717743249755e-11,1.8854061291899706e-10,-
10,2,EAO,0.3474456984012585,1.0,=
10,3,EAO,6.020469126591291e-06,6.0204691265912914e-05,-
10,4,EAO,0.36322231255273874,1.0,=
10,5,EAO,6.414284095216381e-08,7.055712504738019e-07,+
10,6,EAO,0.0035011673538548815,0.028009338830839052,-
10,7,EAO,0.7618283459354748,1.0,=
10,8,EAO,0.19579075835119908,0.9789537917559954,=
10,9,EAO,0.02214986389257612,0.13289918335545672,=
10,10,EAO,0.23982386983331705,0.9789537917559954,=
10,11,EAO,0.001933742080403789,0.017403678723634103,+
10,12,EAO,0.007958995661045572,0.055712969627319,=
10,1,AS-ABMO,0.6819117648556805,1.0,=
10,2,AS-ABMO,0.7273836134208373,1.0,=
10,3,AS-ABMO,0.1120772972173772,0.7845410805216404,=
10,4,AS-ABMO,0.5105333146313906,1.0,=
10,5,AS-ABMO,2.554341583987793e-08,3.0652099007853516e-07,-
10,6,AS-ABMO,2.0022927015293786e-06,2.0022927015293785e-05,-
10,7,AS-ABMO,2.028294855539196e-07,2.231124341093116e-06,+
10,8,AS-ABMO,0.3710770321265142,1.0,=
10,9,AS-ABMO,1.0125488747771147e-05,9.112939872994033e-05,-
10,10,AS-ABMO,0.0031043281377549055,0.024834625102039244,-
10,11,AS-ABMO,0.6828265972276255,1.0,=
10,12,AS-ABMO,0.8883028421533887,1.0,=
10,1,RUN,1.4929977466738448e-11,1.7915972960086138e-10,-
10,2,RUN,4.86058640512978e-09,3.402410483590846e-08,-
10,3,RUN,1.5486322873328963e-11,1.7915972960086138e-10,-
10,4,RUN,0.501143667603293,0.501143667603293,=
10,5,RUN,1.904238236202884e-11,1.904238236202884e-10,-
10,6,RUN,1.6947244610469585e-09,1.3557795688375668e-08,-
10,7,RUN,1.6062129082998958e-06,8.03106454149948e-06,-
10,8,RUN,8.152744512218774e-11,7.337470060996897e-10,-
10,9,RUN,0.1406526007414773,0.2813052014829546,=
10,10,RUN,1.1062029097473907e-06,6.637217458484345e-06,-
10,11,RUN,0.0012881361955588574,0.005152544782235429,+
10,12,RUN,0.0019526766739305424,0.005858030021791628,-
10,1,GWO,1.4929977466738448e-11,1.7915972960086138e-10,-
10,2,GWO,4.066425763614433e-09,3.2531406108915466e-08,-
10,3,GWO,1.5486322873328963e-11,1.7915972960086138e-10,-
10,4,GWO,0.8418014501581275,0.8418014501581275,=
10,5,GWO,1.3259758372519154e-08,9.281830860763408e-08,-
10,6,GWO,3.019859359162157e-11,3.019859359162157e-10,-
10,7,GWO,1.8681677770528113e-05,7.472671108211245e-05,-
10,8,GWO,9.918628618948002e-11,8.926765757053202e-10,-
10,9,GWO,1.5467773011893096e-06,7.733886505946548e-06,-
10,10,GWO,1.2842983656938617e-06,7.70579019416317e-06,-
10,11,GWO,0.0001758882829376646,0.0005276648488129938,+
10,12,GWO,0.1761275454839878,0.3522550909679756,=
10,1,WOA,1.4929977466738448e-11,1.7915972960086138e-10,-
10,2,WOA,3.004796169621212e-08,1.1725960181178149e-07,-
10,3,WOA,1.5486322873328963e-11,1.7915972960086138e-10,-
10,4,WOA,1.849994079491288e-08,9.24997039745644e-08,-
10,5,WOA,1.904238236202884e-11,1.904238236202884e-10,-
10,6,WOA,2.0337965170597153e-09,1.2202779102358293e-08,-
10,7,WOA,1.4109773081080244e-09,9.876841156756171e-09,-
10,8,WOA,3.019859359162157e-11,2.7178734232459413e-10,-
10,9,WOA,2.9314900452945372e-08,1.1725960181178149e-07,-
10,10,WOA,2.0251474013210826e-07,4.050294802642165e-07,-
10,11,WOA,0.0005495153958779096,0.0005495153958779096,+
10,12,WOA,1.463452041097264e-10,1.1707616328778112e-09,-
10,1,HHO,1.4929977466738448e-11,1.7915972960086138e-10,-
10,2,HHO,1.0382864805477838e-09,5.191432402738919e-09,-
10,3,HHO,1.5486322873328963e-11,1.7915972960086138e-10,-
10,4,HHO,0.0014399021465133965,0.0014399021465133965,-
10,5,HHO,1.904238236202884e-11,1.904238236202884e-10,-
10,6,HHO,3.4741966068317727e-10,2.28224099204474e-09,-
10,7,HHO,2.438626624144956e-09,9.754506496579823e-09,-
10,8,HHO,3.3383888204288e-11,3.00454993838592e-10,-
10,9,HHO,3.2603442743496286e-10,2.28224099204474e-09,-
10,10,HHO,6.037276410481694e-07,1.8111829231445082e-06,-
10,11,HHO,0.0005495153958779096,0.0010990307917558193,+
10,12,HHO,4.0771648468253186e-11,3.261731877460255e-10,-
10,1,SCA,1.4929977466738448e-11,1.7915972960086138e-10,-
10,2,SCA,3.561119430270602e-11,2.8488955442164816e-10,-
10,3,SCA,1.5486322873328963e-11,1.7915972960086138e-10,-
10,4,SCA,8.841094917328212e-07,4.420547458664106e-06,-
10,5,SCA,1.904238236202884e-11,1.904238236202884e-10,-
10,6,SCA,3.019859359162157e-11,2.7178734232459413e-10,-
10,7,SCA,1.027733258891446e-06,4.420547458664106e-06,-
10,8,SCA,3.6897258539809896e-11,2.8488955442164816e-10,-
10,9,SCA,0.0008863239377826758,0.0017726478755653516,+
10,10,SCA,0.0002678461011533032,0.0008035383034599097,-
10,11,SCA,0.001933742080403789,0.001933742080403789,+
10,12,SCA,3.6897258539809896e-11,2.8488955442164816e-10,-
10,1,LSHADE,2.6470258069223434e-08,1.3568082306620328e-07,+
10,2,LSHADE,0.41984036123572954,0.41984036123572954,=
10,3,LSHADE,3.0818501709294443e-09,2.4654801367435555e-08,+
10,4,LSHADE,8.152744512218774e-11,8.968018963440651e-10,+
10,5,LSHADE,2.261347051103388e-08,1.3568082306620328e-07,+
10,6,LSHADE,3.3383888204288e-11,4.00606658451456e-10,+
10,7,LSHADE,3.4741966068317727e-10,3.1267769461485955e-09,+
10,8,LSHADE,0.0001493155009485189,0.0004479465028455567,+
10,9,LSHADE,1.8534589038787397e-08,1.2974212327151177e-07,+
10,10,LSHADE,0.03397502227113783,0.06795004454227566,=
10,11,LSHADE,1.0188717669473896e-10,1.0188717669473897e-09,+
10,12,LSHADE,3.830668704115981e-05,0.00015322674816463925,+
20,1,EAO,3.019859359162157e-11,3.5495677988435577e-10,-
20,2,EAO,3.83494235931967e-06,3.451448123387703e-05,-
20,3,EAO,2.957973165702965e-11,3.5495677988435577e-10,-
20,4,EAO,0.40353753915408586,1.0,=
20,5,EAO,0.673495052801603,1.0,=
20,6,EAO,0.051877131053959046,0.31126278632375426,=
20,7,EAO,0.491782956953405,1.0,=
20,8,EAO,0.10868977321444741,0.5434488660722371,=
20,9,EAO,6.010385631570395e-08,6.010385631570396e-07,-
20,10,EAO,0.8649937061644875,1.0,=
20,11,EAO,0.020680749139978086,0.1447652439798466,=
20,12,EAO,0.00728836046503409,0.05830688372027272,=
20,1,AS-ABMO,1.8150836799248053e-09,2.1781004159097665e-08,-
20,2,AS-ABMO,0.04206682132383563,0.16826728529534252,=
20,3,AS-ABMO,6.141676964535661e-06,5.5275092680820946e-05,+
20,4,AS-ABMO,3.090967034582922e-06,3.090967034582922e-05,+
20,5,AS-ABMO,0.001236184563209011,0.008653291942463077,-
20,6,AS-ABMO,0.46427291062161524,0.46427291062161524,=
20,7,AS-ABMO,0.0004459191206574567,0.0035673529652596537,+
20,8,AS-ABMO,5.092196223484032e-08,5.601415845832435e-07,-
20,9,AS-ABMO,0.0594279151689524,0.16826728529534252,=
20,10,AS-ABMO,0.045146208380795055,0.16826728529534252,=
20,11,AS-ABMO,0.008684371229240621,0.05210622737544372,=
