response,transform,cv_r2,cv_rmse,y_std,round
mass,none,0.9999653134557205,0.001203034678789959,0.20426672658076414,0
smax_lc1,log10,0.9506706885086845,0.06745057890600832,0.30369186211073335,0
smax_lc2,log10,0.9565083035323058,0.05874326665357254,0.2816792912691087,0
umax_lc1,log10,0.9957649345661748,0.02795453586959457,0.42955840750268454,0
umax_lc2,log10,0.9921541333941901,0.03463859055910529,0.39105671908577544,0
mass,none,0.9999320892769098,0.0017049732780329476,0.2068942397182956,1
smax_lc1,log10,0.9501985645505437,0.06755923713272304,0.3027358174885154,1
smax_lc2,log10,0.9617447883557003,0.055001678285074164,0.2812099200760197,1
umax_lc1,log10,0.9948770937941266,0.0306194054992921,0.4277978050793717,1
umax_lc2,log10,0.9930253327439853,0.032723089079984294,0.3918253660018815,1
