round,t1,t2,tr,hr,lr,W,rf_ratio,mass_pred,smax_pred,umax_pred,mass_fea,smax_fea,umax_fea,note,smax_lc1_fea,smax_lc2_fea,umax_lc1_fea,umax_lc2_fea,feasible_fea,err_smax_%,err_mass_%
1,4.75,3.0,2.0,80.0,55.25,40.0,0.25,0.2671052818775425,247.3560156496634,0.9864362132235809,0.2699068982761062,403.32414745192415,1.0955309574200325,ok,403.32414745192415,181.6742744298162,0.7069017089951728,1.0955309574200325,False,-38.67066546538774,-1.0379936253788191
1,3.5,3.0,6.5,80.0,40.25,40.0,0.25,0.27307087423220444,245.8198543384948,0.9797302043236485,0.2800802910409157,541.8642532866128,1.4925181323858818,ok,541.8642532866128,179.65185067447328,1.4925181323858818,0.8835070895549633,False,-54.6344212877111,-2.5026455030665806
1,4.5,3.0,2.25,80.0,59.5,40.5,0.25,0.2744647360963186,218.94129967969508,1.0103082784149389,0.27290247915437765,325.7713584450344,1.1625264963131636,ok,325.7713584450344,192.82507263930887,0.5511849264642193,1.1625264963131636,False,-32.79295616264687,0.5724597837226675
1,4.75,3.0,2.0,78.0,58.0,40.0,0.25,0.2714226824275617,244.3302382086346,0.9778644685262693,0.27074604070570235,350.51046234600176,1.089499601083396,ok,350.51046234600176,186.51006906495687,0.6229995049595191,1.089499601083396,False,-30.29302561375551,0.24991749467346835
1,4.75,3.0,2.5,80.0,55.25,40.0,0.25,0.2755730436363114,233.61660264892103,0.9196563346850001,0.27858219447383464,352.11691890215616,1.0133570562208172,ok,352.11691890215616,187.7343754312928,0.659618399870898,1.0133570562208172,False,-33.65368429972067,-1.0801662479566154
2,4.75,3.0,2.0,78.5,69.5,40.0,0.25,0.28197738776148934,254.89203952323697,1.0614784120443799,0.27842415707923834,186.71351859292466,1.0619508384818401,ok,186.71351859292466,181.24640564044722,0.3487026623738585,1.0619508384818401,False,36.51504264078278,1.2761933876447973
2,4.75,3.0,2.0,78.5,69.5,40.0,0.75,0.2825316791040652,254.8800185252878,1.0568162400803411,0.2786978239910196,187.17968908668183,1.051854448661791,ok,187.17968908668183,170.9127566570402,0.348631153301608,1.051854448661791,False,36.1686301376718,1.375631520240761
2,5.0,3.0,2.25,74.25,72.25,40.0,0.25,0.28715447467133914,243.4617983547094,0.9276022622783181,0.2902921526859564,184.4649672381858,0.9107187993357864,ok,184.4649672381858,171.75975525808894,0.3338586230152311,0.9107187993357864,True,31.982675084502855,-1.0808690436808432
2,4.75,3.0,2.25,79.5,73.25,40.0,0.25,0.28901121585135814,225.4428962742141,1.0110741228100701,0.28716875853429397,180.2149850532888,1.0135269676291314,ok,132.69764344523736,180.2149850532888,0.2781162845463775,1.0135269676291314,False,25.096642883249466,0.6415939277197413
2,5.0,3.0,2.0,77.25,72.0,40.0,0.25,0.2858282156745709,233.80160965645783,0.9423607358486662,0.28666092591748554,177.49332408399033,0.9375956697205924,ok,160.21017500922534,177.49332408399033,0.3147023505630678,0.9375956697205924,True,31.724170958577712,-0.2904861345331522
3,5.0,3.0,2.0,72.75,67.25,40.0,0.75,0.2781400410125677,244.2242910574548,0.9462823666518047,0.28139803723925005,220.49671623056284,0.9467384405652789,ok,220.49671623056284,161.5028035182254,0.4405495777241303,0.9467384405652789,True,10.760965166520297,-1.1577892506451137
3,5.0,3.0,2.0,72.5,67.5,40.0,0.25,0.2783763891001509,243.5067398429587,0.9556111077131855,0.2811346734524685,225.3789107186431,0.9557702241967583,ok,225.3789107186431,185.8113936516503,0.44113251344163534,0.9557702241967583,True,8.043267698168034,-0.9811256357832199
3,5.0,3.0,2.0,71.25,68.5,40.0,0.5,0.2783326420440779,243.50877709467014,0.9530215899409861,0.2811274471234304,251.211334483456,0.9547644756045195,ok,251.211334483456,173.03911686034894,0.4506456122893663,0.9547644756045195,False,-3.0661663434191633,-0.9941416634873801
3,5.0,3.0,2.25,69.25,70.5,40.0,0.75,0.28616756071181454,239.13877270566888,0.9232268358017747,0.28609871635698475,277.8071933029927,0.9222349827782028,ok,277.8071933029927,176.35064845096696,0.45349589458314965,0.9222349827782028,False,-13.919157433461338,0.024063147051633926
3,4.75,3.0,2.0,75.5,71.5,40.0,0.75,0.2833789705568958,188.59026430754932,1.0545361754845148,0.27821612575155824,190.33348561534197,1.05659135958702,ok,190.33348561534197,167.65440980376107,0.3632098389853866,1.05659135958702,False,-0.9158773623867966,1.8556957442315447
