alg,problem,seed,f,viol,nfe,x
EAO,truss,2026,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2027,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2028,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2029,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2030,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2031,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2032,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2033,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2034,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2035,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2036,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2037,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2038,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2039,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2040,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2041,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2042,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2043,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2044,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2045,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2046,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2047,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2048,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2049,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2050,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2051,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2052,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2053,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2054,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
EAO,truss,2055,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2026,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2027,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2028,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2029,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2030,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2031,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2032,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2033,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2034,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2035,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2036,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2037,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2038,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2039,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2040,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2041,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2042,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2043,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2044,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2045,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2046,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2047,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2048,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2049,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2050,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2051,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2052,263.89584337646835,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2053,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2054,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
RS-EAO,truss,2055,263.8958433764684,0.0,15030,"[0.788675, 0.408248]"
AS-ABMO,truss,2026,263.89584483056905,0.0,15030,"[0.788631, 0.408374]"
AS-ABMO,truss,2027,263.8959199894146,0.0,15030,"[0.78895, 0.407471]"
AS-ABMO,truss,2028,263.8958718128353,0.0,15030,"[0.788492, 0.408767]"
AS-ABMO,truss,2029,263.89609551886247,0.0,15030,"[0.789261, 0.406594]"
AS-ABMO,truss,2030,263.89584475664674,0.0,15030,"[0.788697, 0.408188]"
AS-ABMO,truss,2031,263.89586420306415,0.0,15030,"[0.788574, 0.408534]"
AS-ABMO,truss,2032,263.89586385545454,0.0,15030,"[0.788508, 0.408721]"
AS-ABMO,truss,2033,263.89584887447154,0.0,15030,"[0.788589, 0.408493]"
AS-ABMO,truss,2034,263.8958951563931,0.0,15030,"[0.788423, 0.408962]"
AS-ABMO,truss,2035,263.895964175714,0.0,15030,"[0.788327, 0.409234]"
AS-ABMO,truss,2036,263.8959152016305,0.0,15030,"[0.788415, 0.408984]"
AS-ABMO,truss,2037,263.89595123627976,0.0,15030,"[0.78895, 0.407471]"
AS-ABMO,truss,2038,263.8958642507638,0.0,15030,"[0.788775, 0.407967]"
AS-ABMO,truss,2039,263.89585285971043,0.0,15030,"[0.788562, 0.40857]"
AS-ABMO,truss,2040,263.89586918418325,0.0,15030,"[0.788789, 0.407926]"
AS-ABMO,truss,2041,263.8959864737571,0.0,15030,"[0.78824, 0.40948]"
AS-ABMO,truss,2042,263.8958847125464,0.0,15030,"[0.788855, 0.407739]"
AS-ABMO,truss,2043,263.89585235509696,0.0,15030,"[0.788725, 0.408108]"
AS-ABMO,truss,2044,263.8961654574509,0.0,15030,"[0.789337, 0.406378]"
AS-ABMO,truss,2045,263.89606651940636,0.0,15030,"[0.7884, 0.409029]"
AS-ABMO,truss,2046,263.89584349370205,0.0,15030,"[0.788678, 0.408241]"
AS-ABMO,truss,2047,263.8958893397885,0.0,15030,"[0.788925, 0.407541]"
AS-ABMO,truss,2048,263.89585139554254,0.0,15030,"[0.788571, 0.408544]"
AS-ABMO,truss,2049,263.89588746032405,0.0,15030,"[0.788592, 0.408482]"
AS-ABMO,truss,2050,263.89588196589864,0.0,15030,"[0.788446, 0.408897]"
AS-ABMO,truss,2051,263.89585655170606,0.0,15030,"[0.78855, 0.408601]"
AS-ABMO,truss,2052,263.89624188273626,0.0,15030,"[0.789412, 0.406168]"
AS-ABMO,truss,2053,263.8959637536618,0.0,15030,"[0.788271, 0.409392]"
AS-ABMO,truss,2054,263.8958487557374,0.0,15030,"[0.788594, 0.408477]"
AS-ABMO,truss,2055,263.8958460595279,0.0,15030,"[0.788631, 0.408372]"
GWO,truss,2026,282.84281247461905,0.0,15030,"[1.0, 1e-06]"
GWO,truss,2027,263.9046011464325,0.0,15030,"[0.788236, 0.409579]"
GWO,truss,2028,263.91214028129804,0.0,15030,"[0.792568, 0.397402]"
GWO,truss,2029,282.84281247461905,0.0,15030,"[1.0, 1e-06]"
GWO,truss,2030,263.91116854326924,0.0,15030,"[0.784374, 0.420567]"
GWO,truss,2031,263.9033855116692,0.0,15030,"[0.786036, 0.41579]"
GWO,truss,2032,263.89623770476067,0.0,15030,"[0.788093, 0.409899]"
GWO,truss,2033,263.89662758625786,0.0,15030,"[0.788714, 0.408147]"
GWO,truss,2034,263.90010471970385,0.0,15030,"[0.786717, 0.413829]"
GWO,truss,2035,263.8966955025931,0.0,15030,"[0.789349, 0.406352]"
GWO,truss,2036,263.9065631447624,0.0,15030,"[0.786269, 0.415162]"
GWO,truss,2037,263.9003714003706,0.0,15030,"[0.787794, 0.410786]"
GWO,truss,2038,263.89842693914983,0.0,15030,"[0.787225, 0.412377]"
GWO,truss,2039,263.90211038261225,0.0,15030,"[0.788076, 0.410005]"
GWO,truss,2040,263.89725874676253,0.0,15030,"[0.788396, 0.409052]"
GWO,truss,2041,263.9012558205941,0.0,15030,"[0.788124, 0.409862]"
GWO,truss,2042,263.9126839596726,0.0,15030,"[0.789632, 0.405711]"
GWO,truss,2043,263.9057074333628,0.0,15030,"[0.787547, 0.411539]"
GWO,truss,2044,263.8985255230215,0.0,15030,"[0.787437, 0.411777]"
GWO,truss,2045,263.90142029095074,0.0,15030,"[0.791181, 0.401217]"
GWO,truss,2046,263.90985174878074,0.0,15030,"[0.792617, 0.397239]"
GWO,truss,2047,263.90038901854444,0.0,15030,"[0.787142, 0.41263]"
GWO,truss,2048,263.9170816495892,0.0,15030,"[0.793936, 0.39358]"
GWO,truss,2049,263.9042083304863,0.0,15030,"[0.791159, 0.401306]"
GWO,truss,2050,282.84281247461905,0.0,15030,"[1.0, 1e-06]"
GWO,truss,2051,263.90109181853325,0.0,15030,"[0.790853, 0.402142]"
GWO,truss,2052,263.90340168252055,0.0,15030,"[0.785802, 0.41645]"
GWO,truss,2053,263.8968780757659,0.0,15030,"[0.788116, 0.40984]"
GWO,truss,2054,263.90508415713776,0.0,15030,"[0.787909, 0.410506]"
GWO,truss,2055,263.90410991313087,0.0,15030,"[0.786186, 0.415373]"
WOA,truss,2026,277.4899031535888,0.0,15030,"[0.960451, 0.058332]"
WOA,truss,2027,266.6150321700349,0.0,15030,"[0.856251, 0.244306]"
WOA,truss,2028,265.0605119189673,0.0,15030,"[0.751515, 0.525]"
WOA,truss,2029,280.5754314752864,0.0,15030,"[0.983693, 0.02345]"
WOA,truss,2030,265.423421277098,0.0,15030,"[0.74654, 0.5427]"
WOA,truss,2031,265.11167235877735,0.0,15030,"[0.750764, 0.527634]"
WOA,truss,2032,265.73322635523226,0.0,15030,"[0.742816, 0.556333]"
WOA,truss,2033,268.1725870495956,0.0,15030,"[0.875706, 0.204854]"
WOA,truss,2034,263.89770565359936,0.0,15030,"[0.790267, 0.403765]"
WOA,truss,2035,268.9010276756188,0.0,15030,"[0.717104, 0.660734]"
WOA,truss,2036,266.4549586801443,0.0,15030,"[0.854026, 0.248999]"
WOA,truss,2037,263.90636266021994,0.0,15030,"[0.78492, 0.418975]"
WOA,truss,2038,264.3122801804565,0.0,15030,"[0.81348, 0.342255]"
WOA,truss,2039,269.4438630264745,0.0,15030,"[0.88962, 0.178215]"
WOA,truss,2040,265.34117983399886,0.0,15030,"[0.836561, 0.287259]"
WOA,truss,2041,263.9010457211032,0.0,15030,"[0.786042, 0.415747]"
WOA,truss,2042,263.9387399726166,0.0,15030,"[0.796416, 0.386783]"
WOA,truss,2043,263.9924403984258,0.0,15030,"[0.800366, 0.376148]"
WOA,truss,2044,269.33282246375325,0.0,15030,"[0.714526, 0.672342]"
WOA,truss,2045,265.45313742765234,0.0,15030,"[0.746165, 0.544058]"
WOA,truss,2046,263.89615689387585,0.0,15030,"[0.788063, 0.409982]"
WOA,truss,2047,263.9997408125551,0.0,15030,"[0.777027, 0.442233]"
WOA,truss,2048,265.2893960120649,0.0,15030,"[0.748289, 0.536412]"
WOA,truss,2049,264.198177458283,0.0,15030,"[0.769092, 0.46666]"
WOA,truss,2050,263.91894448438546,0.0,15030,"[0.794333, 0.392475]"
WOA,truss,2051,265.75739880233215,0.0,15030,"[0.742541, 0.557352]"
WOA,truss,2052,263.9323114331433,0.0,15030,"[0.795803, 0.388451]"
WOA,truss,2053,266.0484972821407,0.0,15030,"[0.739388, 0.56918]"
WOA,truss,2054,269.88723407082824,0.0,15030,"[0.711404, 0.686717]"
WOA,truss,2055,267.6572240761716,0.0,15030,"[0.869629, 0.216889]"
SCA,truss,2026,282.84281247461905,0.0,15030,"[1.0, 1e-06]"
SCA,truss,2027,264.3748537791939,0.0,15030,"[0.785285, 0.422628]"
SCA,truss,2028,264.1936429096277,0.0,15030,"[0.770055, 0.463892]"
SCA,truss,2029,282.84281247461905,0.0,15030,"[1.0, 1e-06]"
SCA,truss,2030,264.0355194690554,0.0,15030,"[0.784329, 0.421938]"
SCA,truss,2031,264.1804138009779,0.0,15030,"[0.803372, 0.369526]"
SCA,truss,2032,264.0795172356529,0.0,15030,"[0.796249, 0.388663]"
SCA,truss,2033,264.20115746402615,0.0,15030,"[0.795565, 0.391815]"
SCA,truss,2034,282.84281247461905,0.0,15030,"[1.0, 1e-06]"
SCA,truss,2035,282.84279032910587,0.0,15030,"[1.0, 1e-06]"
SCA,truss,2036,263.92532862891073,0.0,15030,"[0.786461, 0.414805]"
SCA,truss,2037,264.0502619626883,0.0,15030,"[0.774677, 0.449386]"
SCA,truss,2038,263.9952641265137,0.0,15030,"[0.782975, 0.425365]"
SCA,truss,2039,264.2243491240301,0.0,15030,"[0.791601, 0.403259]"
SCA,truss,2040,264.05083247264855,0.0,15030,"[0.776574, 0.444024]"
SCA,truss,2041,264.1342805724367,0.0,15030,"[0.804449, 0.366016]"
