fid,dim,seed,S_min,stall,eta,err,feeds,cfg
1,10,2026,0.02,5,0.2,5.684341886080802e-14,16,S0.02_st5_e0.2
1,10,2027,0.02,5,0.2,1.1368683772161603e-13,14,S0.02_st5_e0.2
1,10,2028,0.02,5,0.2,0.0,13,S0.02_st5_e0.2
1,10,2029,0.02,5,0.2,5.684341886080802e-14,16,S0.02_st5_e0.2
1,10,2030,0.02,5,0.2,5.684341886080802e-14,15,S0.02_st5_e0.2
1,10,2031,0.02,5,0.2,5.684341886080802e-14,15,S0.02_st5_e0.2
1,10,2032,0.02,5,0.2,5.684341886080802e-14,16,S0.02_st5_e0.2
1,10,2033,0.02,5,0.2,0.0,15,S0.02_st5_e0.2
1,10,2034,0.02,5,0.2,5.684341886080802e-14,15,S0.02_st5_e0.2
1,10,2035,0.02,5,0.2,5.684341886080802e-14,16,S0.02_st5_e0.2
1,10,2036,0.02,5,0.2,5.684341886080802e-14,14,S0.02_st5_e0.2
1,10,2037,0.02,5,0.2,0.0,14,S0.02_st5_e0.2
1,10,2038,0.02,5,0.2,0.0,15,S0.02_st5_e0.2
1,10,2039,0.02,5,0.2,0.0,14,S0.02_st5_e0.2
1,10,2040,0.02,5,0.2,0.0,15,S0.02_st5_e0.2
1,10,2041,0.02,5,0.2,1.1368683772161603e-13,15,S0.02_st5_e0.2
1,10,2042,0.02,5,0.2,5.684341886080802e-14,15,S0.02_st5_e0.2
1,10,2043,0.02,5,0.2,5.684341886080802e-14,15,S0.02_st5_e0.2
1,10,2044,0.02,5,0.2,0.0,16,S0.02_st5_e0.2
1,10,2045,0.02,5,0.2,0.0,16,S0.02_st5_e0.2
1,10,2046,0.02,5,0.2,0.0,15,S0.02_st5_e0.2
1,10,2047,0.02,5,0.2,0.0,14,S0.02_st5_e0.2
1,10,2048,0.02,5,0.2,5.684341886080802e-14,15,S0.02_st5_e0.2
1,10,2049,0.02,5,0.2,5.684341886080802e-14,16,S0.02_st5_e0.2
1,10,2050,0.02,5,0.2,1.1368683772161603e-13,15,S0.02_st5_e0.2
1,10,2051,0.02,5,0.2,5.684341886080802e-14,14,S0.02_st5_e0.2
1,10,2052,0.02,5,0.2,0.0,16,S0.02_st5_e0.2
1,10,2053,0.02,5,0.2,0.0,15,S0.02_st5_e0.2
1,10,2054,0.02,5,0.2,1.7053025658242404e-13,14,S0.02_st5_e0.2
1,10,2055,0.02,5,0.2,5.684341886080802e-14,15,S0.02_st5_e0.2
2,10,2026,0.02,5,0.2,8.91610192778137,14,S0.02_st5_e0.2
2,10,2027,0.02,5,0.2,70.78113297979178,0,S0.02_st5_e0.2
2,10,2028,0.02,5,0.2,3.986579221709178,0,S0.02_st5_e0.2
2,10,2029,0.02,5,0.2,3.986579340454284,0,S0.02_st5_e0.2
2,10,2030,0.02,5,0.2,8.91610192778137,10,S0.02_st5_e0.2
2,10,2031,0.02,5,0.2,4.002884385581524,0,S0.02_st5_e0.2
2,10,2032,0.02,5,0.2,8.91610192778137,13,S0.02_st5_e0.2
2,10,2033,0.02,5,0.2,3.986709126415917,0,S0.02_st5_e0.2
2,10,2034,0.02,5,0.2,3.9880338893702856,0,S0.02_st5_e0.2
2,10,2035,0.02,5,0.2,3.998836671672052,0,S0.02_st5_e0.2
2,10,2036,0.02,5,0.2,8.916101927781312,0,S0.02_st5_e0.2
2,10,2037,0.02,5,0.2,4.382177493619906,0,S0.02_st5_e0.2
2,10,2038,0.02,5,0.2,3.9865851659603777,0,S0.02_st5_e0.2
2,10,2039,0.02,5,0.2,8.91610192778137,10,S0.02_st5_e0.2
2,10,2040,0.02,5,0.2,4.056735517864638,0,S0.02_st5_e0.2
2,10,2041,0.02,5,0.2,3.9875157463518462,0,S0.02_st5_e0.2
2,10,2042,0.02,5,0.2,8.91610192778137,12,S0.02_st5_e0.2
2,10,2043,0.02,5,0.2,0.00010533749582464225,0,S0.02_st5_e0.2
2,10,2044,0.02,5,0.2,4.007916718207412,0,S0.02_st5_e0.2
2,10,2045,0.02,5,0.2,8.91610192778137,12,S0.02_st5_e0.2
2,10,2046,0.02,5,0.2,8.91610192778137,14,S0.02_st5_e0.2
2,10,2047,0.02,5,0.2,4.004234441362996,0,S0.02_st5_e0.2
2,10,2048,0.02,5,0.2,4.0912022217154345,0,S0.02_st5_e0.2
2,10,2049,0.02,5,0.2,8.916101927781312,14,S0.02_st5_e0.2
2,10,2050,0.02,5,0.2,3.990124544590685,0,S0.02_st5_e0.2
2,10,2051,0.02,5,0.2,70.78108381492348,0,S0.02_st5_e0.2
2,10,2052,0.02,5,0.2,3.9982700368460655,0,S0.02_st5_e0.2
2,10,2053,0.02,5,0.2,3.9873981359934305,0,S0.02_st5_e0.2
2,10,2054,0.02,5,0.2,3.9865791281220595,0,S0.02_st5_e0.2
2,10,2055,0.02,5,0.2,3.986580394825694,0,S0.02_st5_e0.2
3,10,2026,0.02,5,0.2,0.0,19,S0.02_st5_e0.2
3,10,2027,0.02,5,0.2,1.1368683772161603e-13,19,S0.02_st5_e0.2
3,10,2028,0.02,5,0.2,0.0,19,S0.02_st5_e0.2
3,10,2029,0.02,5,0.2,2.2737367544323206e-13,19,S0.02_st5_e0.2
3,10,2030,0.02,5,0.2,2.2737367544323206e-13,18,S0.02_st5_e0.2
3,10,2031,0.02,5,0.2,0.0,19,S0.02_st5_e0.2
3,10,2032,0.02,5,0.2,1.1368683772161603e-13,19,S0.02_st5_e0.2
3,10,2033,0.02,5,0.2,1.1368683772161603e-13,19,S0.02_st5_e0.2
3,10,2034,0.02,5,0.2,2.2737367544323206e-13,19,S0.02_st5_e0.2
3,10,2035,0.02,5,0.2,2.2737367544323206e-13,19,S0.02_st5_e0.2
3,10,2036,0.02,5,0.2,0.0,18,S0.02_st5_e0.2
3,10,2037,0.02,5,0.2,1.1368683772161603e-13,18,S0.02_st5_e0.2
