alg,fid,dim,seed,sec
EAO,1,10,2026,0.2162656090222299
EAO,1,10,2027,0.2516583299729973
EAO,1,10,2028,0.22614656097721308
EAO,1,10,2029,0.22942720900755376
EAO,1,10,2030,0.4673698580591008
EAO,2,10,2026,0.27102167904376984
EAO,2,10,2027,0.2887083989335224
EAO,2,10,2028,0.30660397792235017
EAO,2,10,2029,0.37977917096577585
EAO,2,10,2030,0.271702806930989
EAO,3,10,2026,0.42369084898382425
EAO,3,10,2027,0.48206187889445573
EAO,3,10,2028,0.49923541105818003
EAO,3,10,2029,0.4705941859865561
EAO,3,10,2030,0.5455315830186009
EAO,4,10,2026,0.6217281270073727
EAO,4,10,2027,0.6799763119779527
EAO,4,10,2028,0.6541962600313127
EAO,4,10,2029,0.6287748410832137
EAO,4,10,2030,0.6690369870048016
EAO,5,10,2026,0.5033454239601269
EAO,5,10,2027,0.4046137708937749
EAO,5,10,2028,0.3596239449689165
EAO,5,10,2029,0.4098523270804435
EAO,5,10,2030,0.40881583001464605
EAO,6,10,2026,0.4189896050374955
EAO,6,10,2027,0.46290714002680033
EAO,6,10,2028,0.3780000479891896
EAO,6,10,2029,0.38183224701788276
EAO,6,10,2030,0.5053300380241126
EAO,7,10,2026,3.1281301240669563
EAO,7,10,2027,3.0633686910150573
EAO,7,10,2028,3.1568829549942166
EAO,7,10,2029,2.9578349409857765
EAO,7,10,2030,3.175726037006825
EAO,8,10,2026,3.8292853260645643
EAO,8,10,2027,3.7683085850439966
EAO,8,10,2028,3.713335447013378
EAO,8,10,2029,3.9800493670627475
EAO,8,10,2030,3.9596859260927886
EAO,9,10,2026,1.053972810972482
EAO,9,10,2027,0.9536283779889345
EAO,9,10,2028,1.0618141929153353
EAO,9,10,2029,1.0113527699140832
EAO,9,10,2030,0.9014230209868401
EAO,10,10,2026,0.9748082050355151
EAO,10,10,2027,1.2338041020557284
EAO,10,10,2028,1.0951339340535924
EAO,10,10,2029,1.0657002709340304
EAO,10,10,2030,0.9505882449448109
EAO,11,10,2026,1.5705867720535025
EAO,11,10,2027,1.6005233459873125
EAO,11,10,2028,1.7132442629663274
EAO,11,10,2029,1.6597424179781228
EAO,11,10,2030,1.6132346979575232
EAO,12,10,2026,1.5837130609434098
EAO,12,10,2027,1.8302292680600658
EAO,12,10,2028,1.7013998680049554
EAO,12,10,2029,1.8287525830091909
EAO,12,10,2030,1.759743002941832
RS-EAO,1,10,2026,0.3742440340574831
RS-EAO,1,10,2027,0.3083956269547343
RS-EAO,1,10,2028,0.28910648403689265
RS-EAO,1,10,2029,0.3072963369777426
RS-EAO,1,10,2030,0.31266280298586935
RS-EAO,2,10,2026,0.3840051969746128
RS-EAO,2,10,2027,0.3602368099382147
RS-EAO,2,10,2028,0.40774834202602506
RS-EAO,2,10,2029,0.3192632959689945
RS-EAO,2,10,2030,0.3121410330059007
RS-EAO,3,10,2026,0.4967796690762043
RS-EAO,3,10,2027,0.49300552799832076
RS-EAO,3,10,2028,0.44809051300399005
RS-EAO,3,10,2029,0.6301509040640667
RS-EAO,3,10,2030,0.47828986996319145
RS-EAO,4,10,2026,0.6659419110510498
RS-EAO,4,10,2027,0.757109038066119
RS-EAO,4,10,2028,0.8137485650368035
RS-EAO,4,10,2029,0.6683721160516143
RS-EAO,4,10,2030,0.7439488309901208
RS-EAO,5,10,2026,0.43752891407348216
RS-EAO,5,10,2027,0.5028782360022888
RS-EAO,5,10,2028,0.4463365700794384
RS-EAO,5,10,2029,0.4550862719770521
RS-EAO,5,10,2030,0.5001882719807327
RS-EAO,6,10,2026,0.4172411779873073
RS-EAO,6,10,2027,0.4632971700048074
RS-EAO,6,10,2028,0.45038623095024377
RS-EAO,6,10,2029,0.4741660200525075
RS-EAO,6,10,2030,0.4334465910214931
RS-EAO,7,10,2026,2.7900040600216016
RS-EAO,7,10,2027,3.1425192650640383
RS-EAO,7,10,2028,3.0122670959681273
RS-EAO,7,10,2029,2.9394038970349357
RS-EAO,7,10,2030,2.9953417900251225
RS-EAO,8,10,2026,4.024506354006007
RS-EAO,8,10,2027,3.779095540056005
RS-EAO,8,10,2028,3.955361302010715
RS-EAO,8,10,2029,3.720135970041156
RS-EAO,8,10,2030,3.9468085730914026
RS-EAO,9,10,2026,0.9505041840020567
RS-EAO,9,10,2027,0.984708844916895
RS-EAO,9,10,2028,1.1359183810418472
RS-EAO,9,10,2029,0.9641986249480397
RS-EAO,9,10,2030,1.1310431209858507
RS-EAO,10,10,2026,1.1476370489690453
RS-EAO,10,10,2027,1.1054750740295276
RS-EAO,10,10,2028,1.122117416933179
RS-EAO,10,10,2029,1.0406341969501227
RS-EAO,10,10,2030,1.023068779031746
RS-EAO,11,10,2026,1.767479520989582
RS-EAO,11,10,2027,1.6280705030076206
RS-EAO,11,10,2028,1.771593769080937
RS-EAO,11,10,2029,1.5512569539714605
RS-EAO,11,10,2030,1.8139873630134389
RS-EAO,12,10,2026,1.6534659239696339
RS-EAO,12,10,2027,1.779169067973271
RS-EAO,12,10,2028,1.6888619810342789
RS-EAO,12,10,2029,1.743265416007489
RS-EAO,12,10,2030,1.6877500170376152
AS-ABMO,1,10,2026,0.49626747402362525
AS-ABMO,1,10,2027,0.5631667940178886
AS-ABMO,1,10,2028,0.5353472849819809
AS-ABMO,1,10,2029,0.4429069770267233
AS-ABMO,1,10,2030,0.4251947699813172
AS-ABMO,2,10,2026,0.532744642929174
AS-ABMO,2,10,2027,0.6699464279226959
AS-ABMO,2,10,2028,0.4933747770264745
AS-ABMO,2,10,2029,0.5951442739460617
AS-ABMO,2,10,2030,0.5750593770062551
AS-ABMO,3,10,2026,0.7477683030301705
AS-ABMO,3,10,2027,0.813539172988385
AS-ABMO,3,10,2028,0.7137932920595631
AS-ABMO,3,10,2029,0.6825238929595798
AS-ABMO,3,10,2030,0.688252889085561
AS-ABMO,4,10,2026,0.8701903480105102
AS-ABMO,4,10,2027,1.0666267230408266
AS-ABMO,4,10,2028,1.0539160330081359
AS-ABMO,4,10,2029,0.84003748500254
AS-ABMO,4,10,2030,0.9055891030002385
AS-ABMO,5,10,2026,0.6044271730352193
AS-ABMO,5,10,2027,0.6747915958985686
AS-ABMO,5,10,2028,0.7077009719796479
AS-ABMO,5,10,2029,0.7706168859731406
AS-ABMO,5,10,2030,0.5549348269123584
AS-ABMO,6,10,2026,0.7395254669245332
AS-ABMO,6,10,2027,0.6442238680319861
AS-ABMO,6,10,2028,0.7833209609379992
AS-ABMO,6,10,2029,0.6373350030044094
AS-ABMO,6,10,2030,0.7365408799378201
AS-ABMO,7,10,2026,3.2298678420484066
AS-ABMO,7,10,2027,3.2776234139455482
AS-ABMO,7,10,2028,3.100943114957772
AS-ABMO,7,10,2029,3.38320080190897
AS-ABMO,7,10,2030,3.14241315505933
AS-ABMO,8,10,2026,4.220377364079468
AS-ABMO,8,10,2027,4.395962292095646
AS-ABMO,8,10,2028,4.0897664269432425
AS-ABMO,8,10,2029,4.015722190029919
AS-ABMO,8,10,2030,4.105607375036925
AS-ABMO,9,10,2026,1.2621933539630845
AS-ABMO,9,10,2027,1.2650296509964392
AS-ABMO,9,10,2028,1.2828514099819586
AS-ABMO,9,10,2029,1.199947232962586
AS-ABMO,9,10,2030,1.232501687016338
AS-ABMO,10,10,2026,1.318585611996241
AS-ABMO,10,10,2027,1.1685909440275282
AS-ABMO,10,10,2028,1.313669458962977
AS-ABMO,10,10,2029,1.3039407619507983
AS-ABMO,10,10,2030,1.234364002943039
AS-ABMO,11,10,2026,1.8512074940372258
AS-ABMO,11,10,2027,1.6917567249620333
