,mean,mean,std,std
dim,10,20,10,20
alg,,,,
EAO,1.2207999360534207,1.6074831809441092,1.1076137995381756,1.9526131479528908
RS-EAO,1.2385622992684755,1.6409478868726486,1.0901997926735458,1.9408542838040745
AS-ABMO,1.471135505059889,1.8742792549193836,1.128589439241798,1.9675417901016488
RUN,2.300162950887655,2.709395448549185,1.1423930318289803,1.9825183784924207
GWO,1.642677486272684,2.0483903353180115,1.1692576687366127,2.00767216223931
WOA,1.513727788060593,1.9530723509107095,1.1338135204328559,2.0141198337879356
HHO,1.389395985500111,1.7876829804464553,1.1027734099756634,1.9762462973625923
SCA,2.1513382065226323,3.1805604163440875,1.115028257456105,2.047198166208512
LSHADE,2.3811575217017285,2.8004008700702494,1.1756377743210413,2.027994416249944
