function,seed,f_official,f_port,nfe_port,identical
F1,1000,0.0,0.0,45030,True
F1,1001,0.0,0.0,45030,True
F1,1002,0.0,0.0,45030,True
F2,1000,1.174104833278743e-305,1.174104833278743e-305,45030,True
F2,1001,1.780661673973904e-308,1.780661673973904e-308,45030,True
F2,1002,3.822285437097895e-307,3.822285437097895e-307,45030,True
F9,1000,0.0,0.0,45030,True
F9,1001,0.0,0.0,45030,True
F9,1002,0.0,0.0,45030,True
F10,1000,4.440892098500626e-16,4.440892098500626e-16,45030,True
F10,1001,4.440892098500626e-16,4.440892098500626e-16,45030,True
F10,1002,4.440892098500626e-16,4.440892098500626e-16,45030,True
