problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters,c1_sel_share,c1_acc_share,c1_acc_rate
classical_F1_d10,1000,4.609691603509664e-193,0.0,14970,"[9.168222502762377e-108, -4.974412954066316e-120, 4.911547663049603e-97, 4.687602328340506e-97, 2.402935913033032e-110, 5.131113880293465e-106, -5.027835166996529e-103, 7.542497924755979e-112, 7.001506465525473e-105, 4.928148556952943e-106]",3202,1778,3000,1772,166,0.6429718875502008,0.6286672254819782,0.9369144284821986
classical_F1_d10,1001,4.001650047997257e-200,0.0,14970,"[1.1661478471033271e-113, -7.432762481227708e-103, 9.925401995836667e-102, -3.0785158993397416e-104, 1.9979346847045645e-100, -5.538676265107739e-104, -3.2235354421534723e-115, -3.66943622672035e-115, -1.8887504274491735e-104, 6.959028429777338e-112]",3222,1758,3018,1752,166,0.6469879518072289,0.6327044025157232,0.9366852886405959
classical_F1_d10,1002,1.9990610811601313e-196,0.0,14970,"[-1.6299232955781734e-123, 2.6758941252710952e-114, -9.660811018520809e-99, 1.032350452733552e-98, 1.4059366512914294e-107, -1.3621416774459127e-102, 1.1520916406146387e-109, 7.521870951609044e-104, -2.2561368885062403e-110, -9.539047924594319e-102]",3239,1741,3046,1733,166,0.6504016064257028,0.6373718351119481,0.9404137079345477
classical_F1_d10,1003,1.3380679971933826e-194,0.0,14970,"[-7.239327584126298e-108, -1.8526612771596504e-110, 1.1567488911571874e-97, -3.1407567226794226e-106, 4.9556453040684214e-111, -2.1184439036211066e-111, -8.219211917716882e-109, 4.192310169786738e-106, 4.431376193574858e-118, 2.785105242295988e-107]",3222,1758,3045,1753,166,0.6469879518072289,0.6346394330971238,0.9450651769087524
classical_F1_d10,1004,2.6175225700222194e-189,0.0,14970,"[1.5102564768033336e-102, -1.0718343690150063e-100, 6.93223747482069e-104, 1.2078778902629096e-106, 1.878698037894744e-115, -1.0001001452996257e-105, -2.7192732813222603e-103, -4.636001649873287e-101, 5.11617295447347e-95, -4.325956137416821e-107]",3246,1734,3043,1728,166,0.6518072289156627,0.6378117795011528,0.9374614910659272
classical_F1_d10,1005,2.865356802641364e-193,0.0,14970,"[-2.8119879472407226e-115, 3.712389028124373e-101, -1.4984950743560974e-106, -5.35290275351564e-97, 1.2084453398816596e-107, -3.472919064141606e-108, 5.157139805084551e-111, 2.726887985307269e-109, 2.3990877512455893e-108, 7.503342018272795e-107]",3241,1739,3023,1732,166,0.6508032128514056,0.6357518401682439,0.9327368096266584
classical_F1_d10,1006,2.464186825061892e-197,0.0,14970,"[7.630486571348024e-119, -2.3923907685011863e-105, 4.964057338739505e-99, -1.8492243878800523e-104, -1.0475418032836201e-106, -1.7285747790838499e-102, -1.699729812392481e-105, 3.205543702623192e-115, 2.007631681227171e-105, -5.001666703965391e-109]",3135,1845,2940,1830,166,0.6295180722891566,0.6163522012578616,0.937799043062201
classical_F1_d10,1007,4.006928371729741e-190,0.0,14970,"[6.175073568440721e-114, -2.0017313433216423e-95, 2.723759176509073e-102, -1.7032468062404677e-111, 4.35662201313211e-109, -3.930147423625095e-108, 1.382908154209181e-110, 7.769018601201912e-113, -2.988979764523989e-100, 5.0002901111095177e-107]",3254,1726,3052,1715,166,0.6534136546184739,0.6402349486049926,0.9379225568531039
classical_F1_d10,1008,2.7334188801575197e-191,0.0,14970,"[-5.989608957936173e-104, -1.1037847043234463e-113, 1.13096668054383e-103, -5.228210860473546e-96, -7.843358388682969e-105, -4.824196438668676e-103, 9.002345708394397e-112, -7.590949331229247e-114, -6.5307721427378734e-111, 1.189493545520195e-102]",3143,1837,2954,1824,166,0.6311244979919679,0.6182503139388865,0.9398663697104677
classical_F1_d10,1009,1.2385284201403213e-198,0.0,14970,"[-5.041330618322047e-103, 1.1128915821181132e-99, 1.4108992825895507e-112, -8.492041277909069e-104, -6.965840519006928e-103, 2.5462268474048073e-115, -4.750218329568662e-107, -2.6405338399994703e-113, -5.496878063790177e-115, 5.648032780921113e-118]",3181,1799,2974,1793,166,0.6387550200803213,0.6238724564715754,0.9349261238604213
classical_F1_d10,1010,9.480947564705792e-200,0.0,14970,"[-6.246210516336732e-106, -4.7642701077543984e-113, -2.863565437227908e-101, -3.0657699650677446e-100, -9.956945736471647e-112, 1.0543849013854145e-104, 1.408506158415869e-103, -3.807470834801119e-113, 2.5841989757164415e-106, -1.4425283931123232e-104]",3189,1791,2993,1780,166,0.6403614457831325,0.6270689293945108,0.938538726873628
classical_F1_d10,1011,1.3985392745910854e-199,0.0,14970,"[-4.0748329224574855e-115, 5.313211269313316e-113, 2.9497972736715924e-104, -2.054863970824034e-110, -1.625566682111462e-122, 1.1582118446056423e-109, 2.2177705181756132e-113, 3.593145464222539e-104, -3.7397043006720704e-100, -2.0672023826370202e-103]",3207,1773,3019,1762,166,0.6439759036144578,0.6314578540054382,0.9413782351106954
classical_F1_d10,1012,2.0038704707202403e-205,0.0,14970,"[4.3736699101729156e-103, -9.461172608797622e-104, -7.577036298302766e-110, -2.8371081573311306e-107, 1.2074010247095968e-104, 7.252566616915293e-112, -3.1603506676723804e-107, 7.250823452707941e-110, -2.212473585941183e-111, 1.862257517920489e-110]",3206,1774,2998,1768,166,0.6437751004016065,0.629039026437264,0.9351216469120399
classical_F1_d10,1013,2.491109158422873e-200,0.0,14970,"[3.800092108678484e-110, 4.492428388492724e-111, -2.43354460144545e-108, 8.283453651778948e-107, 1.6224016021430281e-105, 6.062667753740159e-101, -1.085885943801169e-105, 4.161631072766386e-107, 1.4572404589217498e-100, -7.205405214520937e-113]",3232,1748,3006,1741,166,0.648995983935743,0.6332420476090163,0.9300742574257426
classical_F1_d10,1014,1.0012672209580605e-201,0.0,14970,"[2.976363803160069e-114, 3.018413836511545e-107, 1.1518631707541693e-104, 8.329535164586136e-105, -8.984033459424243e-107, -7.203967976082466e-114, -4.37731861305217e-113, -3.142862759859478e-101, 4.905365405995712e-107, 3.675375648214206e-102]",3175,1805,2971,1797,166,0.6375502008032129,0.6231124161073825,0.935748031496063
classical_F1_d10,1015,1.1885102459189177e-197,0.0,14970,"[-3.2171159484655955e-109, 6.230763283385946e-119, 4.638375646117353e-105, 1.6846122662173088e-109, 6.3086152833867886e-102, 2.2127454669101622e-105, 3.4474719230961066e-99, 1.049017628797037e-110, -6.358319387802027e-107, 4.8525524733768385e-115]",3222,1758,3011,1749,166,0.6469879518072289,0.632563025210084,0.9345127250155183
classical_F1_d10,1016,8.648002544706567e-197,0.0,14970,"[8.09646290402251e-114, -1.0198556036505985e-111, -7.80097605170209e-102, -4.186843257969379e-116, -6.723550537493114e-110, 6.2009098046522694e-102, -1.1401544598454424e-108, -3.3341908567262443e-103, -3.049707085927747e-105, -9.299458372904215e-99]",3218,1762,3015,1757,166,0.6461847389558233,0.6318105616093881,0.9369173399627098
classical_F1_d10,1017,7.625672200717279e-184,0.0,14970,"[1.1561192175462275e-106, 2.761461968001238e-92, -4.719059339129597e-112, 3.723721456868712e-107, -2.9464911330344663e-107, 4.992662128712103e-109, -9.232011110010778e-100, -4.962814269070033e-107, 1.75331435355175e-100, -2.715774292019611e-115]",3184,1796,3000,1784,166,0.6393574297188755,0.6270903010033445,0.9422110552763819
classical_F1_d10,1018,6.010948073921884e-203,0.0,14970,"[7.732735846804387e-106, 9.265682612300562e-117, -8.616526142365025e-104, -2.1646101231536245e-105, -1.3258828205175846e-107, -7.691549312284373e-102, -1.6384381732858207e-113, 5.8980579002624815e-112, -1.3794695661094116e-107, -9.7062875487248e-103]",3205,1775,3000,1772,166,0.643574297188755,0.6286672254819782,0.9360374414976599
classical_F1_d10,1019,1.663247953023615e-198,0.0,14970,"[-1.1376966238983923e-114, 1.9439054361695175e-103, -2.0799710031109872e-107, 3.618723147357648e-105, -2.4014541136660888e-114, 1.4055026787277801e-102, 2.050288763495121e-117, -1.2896689259639093e-99, -4.374076624306204e-112, -3.446958805091167e-104]",3257,1723,3063,1717,166,0.6540160642570281,0.6407949790794979,0.9404359840343874
classical_F1_d10,1020,1.2617683718731912e-192,0.0,14970,"[1.1232844990441714e-96, 5.188302269464148e-113, -2.128471648944973e-109, 5.532452205989394e-100, 5.060586387901452e-107, 1.5183347192303072e-107, -4.8200918377684204e-122, 1.4081453316372195e-116, -4.491698795231492e-104, -2.7745313146044952e-111]",3245,1735,3021,1727,166,0.6516064257028112,0.6362679022746419,0.9309707241910632
classical_F1_d10,1021,1.0598019977179176e-206,0.0,14970,"[-1.0294627649107369e-103, 1.6157147718781381e-108, -1.2076895047519637e-113, -5.177344751918765e-112, -9.526327425417292e-107, 2.64058771334887e-106, -6.920647865174776e-113, -2.9164867818704386e-115, 1.5506471551515745e-110, 7.300044979890872e-107]",3168,1812,2939,1796,166,0.636144578313253,0.6206969376979936,0.9277146464646465
classical_F1_d10,1022,8.88733896689932e-196,0.0,14970,"[6.385464991588941e-117, 2.461506169278732e-108, 1.567709310169221e-109, 3.5446864908097284e-111, 1.5459903034856415e-119, -2.981163648834048e-98, 1.5052474168182343e-101, -2.234494954419859e-122, 1.5157127959933392e-109, 9.688568136583232e-111]",3209,1771,3000,1763,166,0.6443775100401606,0.6298551333193365,0.9348706762231225
classical_F1_d10,1023,4.272517359941861e-192,0.0,14970,"[-1.2812080568886478e-108, 1.9141535025646867e-107, -1.0236663442563487e-109, 3.5080189273949973e-118, -2.0670068601583935e-96, -9.239162626232375e-105, -3.02918178664315e-104, -1.7285976969780255e-107, 1.0057378070113613e-106, 1.9483370220004468e-112]",3208,1772,2992,1759,166,0.6441767068273092,0.6297621553357188,0.9326683291770573
classical_F1_d10,1024,3.6829593599800416e-194,0.0,14970,"[2.978125440461443e-105, 6.043094317209041e-104, 1.6023096391824888e-103, 1.0737336560369938e-107, 1.4554747102691146e-103, -2.9582299263763873e-108, 9.395195761917009e-112, 1.9191037908291958e-97, -4.098629816505266e-108, -4.535594568095392e-109]",3201,1779,2998,1776,166,0.6427710843373494,0.6279849183074989,0.936582318025617
classical_F1_d10,1025,1.3707755393978555e-197,0.0,14970,"[-1.1851922524977154e-112, 2.3013104089401214e-101, 3.6383174514255583e-99, -1.0674068654988445e-105, -4.852711044231702e-111, -6.854720332955673e-100, 3.014121788390684e-114, -9.691819281132709e-110, -6.556527203265662e-104, 3.067010675649519e-104]",3264,1716,3040,1712,166,0.655421686746988,0.6397306397306397,0.9313725490196079
