problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters
truss,1000,263.89584337646835,0.0,45030,"[0.7886751320471789, 0.40824829766965975]",9,14991,8,2214,500
truss,1001,263.89584337646835,0.0,45030,"[0.7886751368068861, 0.40824828420717485]",12,14988,9,2318,500
truss,1002,263.8958433764684,0.0,45030,"[0.7886751367331754, 0.4082482844156608]",11,14989,10,2260,500
truss,1003,263.89584337646835,0.0,45030,"[0.7886751344662914, 0.4082482908273761]",16,14984,10,2208,500
truss,1004,263.89584337646835,0.0,45030,"[0.7886751371132954, 0.4082482833405183]",12,14988,11,2279,500
truss,1005,263.89584337646835,0.0,45030,"[0.7886751355428165, 0.4082482877825032]",12,14988,11,2167,500
truss,1006,263.89584337646835,0.0,45030,"[0.7886751346271096, 0.4082482903725137]",11,14989,11,2286,500
truss,1007,263.89584337646835,0.0,45030,"[0.7886751371569961, 0.4082482832169141]",9,14991,5,2194,500
truss,1008,263.8958433764684,0.0,45030,"[0.788675135711623, 0.40824828730504725]",14,14986,13,2281,500
truss,1009,263.8958433764684,0.0,45030,"[0.7886751306324014, 0.4082483016712555]",13,14987,12,2280,500
truss,1010,263.8958433764684,0.0,45030,"[0.7886751272793532, 0.40824831115510785]",17,14983,9,2330,500
truss,1011,263.89584337646835,0.0,45030,"[0.7886751321077972, 0.40824829749820524]",9,14991,9,2260,500
truss,1012,263.89584337646835,0.0,45030,"[0.7886751338739527, 0.40824829250276296]",13,14987,10,2269,500
truss,1013,263.8958433764684,0.0,45030,"[0.7886751319103935, 0.4082482980565479]",12,14988,12,2222,500
truss,1014,263.89584337646835,0.0,45030,"[0.7886751312123882, 0.4082483000308042]",10,14990,9,2228,500
truss,1015,263.8958433764684,0.0,45030,"[0.7886751382722094, 0.40824828006261515]",6,14994,4,2157,500
truss,1016,263.8958433764684,0.0,45030,"[0.7886751292263438, 0.4082483056481869]",11,14989,6,2096,500
truss,1017,263.8958433764684,0.0,45030,"[0.7886751397410783, 0.4082482759080265]",6,14994,5,2119,500
truss,1018,263.89584337646835,0.0,45030,"[0.7886751321271983, 0.4082482974433306]",12,14988,11,2201,500
truss,1019,263.89584337646835,0.0,45030,"[0.7886751322441083, 0.4082482971126591]",12,14988,10,2235,500
truss,1020,263.89584337646835,0.0,45030,"[0.7886751375142248, 0.40824828220651876]",10,14990,9,2215,500
truss,1021,263.89584337646835,0.0,45030,"[0.7886751359604668, 0.40824828660120993]",13,14987,8,2323,500
truss,1022,263.89584337646835,0.0,45030,"[0.7886751323661694, 0.40824829676741825]",15,14985,13,2206,500
truss,1023,263.8958433764684,0.0,45030,"[0.7886751414904015, 0.40824827096019345]",12,14988,11,2235,500
truss,1024,263.89584337646835,0.0,45030,"[0.7886751326511072, 0.40824829596149226]",7,14993,6,2265,500
truss,1025,263.8958433764684,0.0,45030,"[0.7886751359733357, 0.4082482865648119]",13,14987,12,2180,500
truss,1026,263.8958433764684,0.0,45030,"[0.7886751299173675, 0.4082483036936765]",12,14988,6,2194,500
truss,1027,263.89584337646835,0.0,45030,"[0.7886751332063794, 0.4082482943909455]",10,14990,8,2161,500
truss,1028,263.8958433764684,0.0,45030,"[0.7886751410272652, 0.4082482722701408]",9,14991,6,2276,500
