function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F12022,10,EAO,1000,1.8974333215737715e-10,14970,0,33,3779
F12022,10,EAO,1001,7.409539648506325e-09,14970,0,44,3740
F12022,10,EAO,1002,5.240963218966499e-11,14970,0,39,3766
F12022,10,EAO,1003,2.8598321932804538e-08,14970,0,40,3694
F12022,10,EAO,1004,1.0965095498249866e-10,14970,0,30,3760
F12022,10,EAO,1005,2.4363089323742315e-10,14970,0,38,3730
F12022,10,EAO,1006,3.070683192163415e-07,14970,0,36,3794
F12022,10,EAO,1007,7.048583938740194e-12,14970,0,41,3696
F12022,10,EAO,1008,3.9857176432178676e-05,14970,0,37,3831
F12022,10,EAO,1009,1.0154718665944529e-06,14970,0,38,3861
F12022,10,EAO,1010,3.660716174636036e-11,14970,0,36,3705
F12022,10,EAO,1011,3.75485456061142e-08,14970,0,38,3859
F12022,10,EAO,1012,8.139977580867708e-11,14970,0,30,3815
F12022,10,EAO,1013,1.3828201872456702e-07,14970,0,46,3711
F12022,10,EAO,1014,6.44962483420386e-09,14970,0,38,3822
F12022,10,EAO,1015,1.7547563402331434e-10,14970,0,43,3818
F12022,10,EAO,1016,1.4267698134062812e-11,14970,0,31,3269
F12022,10,EAO,1017,6.432401278289035e-10,14970,0,42,3752
F12022,10,EAO,1018,6.976279109949246e-09,14970,0,40,3761
F12022,10,EAO,1019,1.1368683772161603e-13,14970,0,38,3687
F12022,10,EAO,1020,1.801936377887614e-11,14970,0,31,3773
F12022,10,EAO,1021,2.0272238998586545e-08,14970,0,37,3772
F12022,10,EAO,1022,2.2130166144052055e-08,14970,0,36,3826
F12022,10,EAO,1023,3.979039320256561e-13,14970,0,27,3682
F12022,10,EAO,1024,5.589527063420974e-09,14970,0,34,3779
F12022,10,EAO,1025,2.977458279929124e-10,14970,0,32,3694
F12022,10,EAO,1026,1.8428636394673958e-10,14970,0,40,3755
F12022,10,EAO,1027,9.130758371611591e-10,14970,0,43,3808
F12022,10,EAO,1028,1.4684360394312534e-09,14970,0,40,3761
F12022,10,EAO,1029,1.6501303434779402e-08,14970,0,38,3782
F12022,10,EAO+M2,1000,0.0,14970,0,1287,1028
F12022,10,EAO+M2,1001,0.0,14970,0,1263,1008
F12022,10,EAO+M2,1002,5.684341886080802e-14,14970,0,1354,1063
F12022,10,EAO+M2,1003,5.684341886080802e-14,14970,0,1249,1010
F12022,10,EAO+M2,1004,5.684341886080802e-14,14970,0,1269,984
F12022,10,EAO+M2,1005,5.684341886080802e-14,14970,0,1362,1053
F12022,10,EAO+M2,1006,5.684341886080802e-14,14970,0,1251,1019
F12022,10,EAO+M2,1007,0.0,14970,0,1357,1017
F12022,10,EAO+M2,1008,1.1368683772161603e-13,14970,0,1313,993
F12022,10,EAO+M2,1009,5.684341886080802e-14,14970,0,1291,945
F12022,10,EAO+M2,1010,5.684341886080802e-14,14970,0,1210,967
F12022,10,EAO+M2,1011,5.684341886080802e-14,14970,0,1355,1056
F12022,10,EAO+M2,1012,1.1368683772161603e-13,14970,0,1243,986
F12022,10,EAO+M2,1013,0.0,14970,0,1329,1049
F12022,10,EAO+M2,1014,5.684341886080802e-14,14970,0,1311,967
F12022,10,EAO+M2,1015,0.0,14970,0,1253,1033
F12022,10,EAO+M2,1016,0.0,14970,0,1389,1035
F12022,10,EAO+M2,1017,1.1368683772161603e-13,14970,0,1265,1002
F12022,10,EAO+M2,1018,5.684341886080802e-14,14970,0,1263,976
F12022,10,EAO+M2,1019,1.1368683772161603e-13,14970,0,1438,1059
F12022,10,EAO+M2,1020,0.0,14970,0,1287,996
F12022,10,EAO+M2,1021,5.684341886080802e-14,14970,0,1182,1004
F12022,10,EAO+M2,1022,1.1368683772161603e-13,14970,0,1256,1038
F12022,10,EAO+M2,1023,5.684341886080802e-14,14970,0,1207,977
F12022,10,EAO+M2,1024,1.1368683772161603e-13,14970,0,1268,941
F12022,10,EAO+M2,1025,0.0,14970,0,1368,971
F12022,10,EAO+M2,1026,0.0,14970,0,1342,1060
F12022,10,EAO+M2,1027,0.0,14970,0,1220,1035
F12022,10,EAO+M2,1028,5.684341886080802e-14,14970,0,1278,912
F12022,10,EAO+M2,1029,5.684341886080802e-14,14970,0,1240,935
F12022,10,EAO+M1a,1000,4.263256414560601e-12,14970,0,36,3658
F12022,10,EAO+M1a,1001,1.7053025658242404e-13,14970,0,56,3309
F12022,10,EAO+M1a,1002,8.197389433917124e-10,14970,0,34,3606
F12022,10,EAO+M1a,1003,2.2230165086511988e-07,14970,0,36,3722
F12022,10,EAO+M1a,1004,3.979039320256561e-13,14970,0,40,3580
F12022,10,EAO+M1a,1005,2.8421709430404007e-13,14970,0,49,2808
F12022,10,EAO+M1a,1006,5.684341886080802e-14,14970,0,39,2559
F12022,10,EAO+M1a,1007,1.1368683772161603e-13,14970,0,32,3533
F12022,10,EAO+M1a,1008,8.981260180007666e-12,14970,0,49,3716
F12022,10,EAO+M1a,1009,1.460875864722766e-11,14970,0,44,3576
F12022,10,EAO+M1a,1010,1.921307557495311e-11,14970,0,32,3712
F12022,10,EAO+M1a,1011,1.7053025658242404e-13,14970,0,31,3319
F12022,10,EAO+M1a,1012,6.857590051367879e-10,14970,0,31,3824
F12022,10,EAO+M1a,1013,1.8678747437661514e-10,14970,0,41,3651
F12022,10,EAO+M1a,1014,1.7053025658242404e-13,14970,0,41,3272
F12022,10,EAO+M1a,1015,1.7053025658242404e-13,14970,0,34,3175
F12022,10,EAO+M1a,1016,1.1368683772161603e-12,14970,0,40,3557
F12022,10,EAO+M1a,1017,2.4442670110147446e-11,14970,0,40,3628
F12022,10,EAO+M1a,1018,4.638422979041934e-11,14970,0,37,3707
F12022,10,EAO+M1a,1019,5.684341886080802e-14,14970,0,46,3373
F12022,10,EAO+M1a,1020,3.751665644813329e-12,14970,0,25,3714
F12022,10,EAO+M1a,1021,2.8421709430404007e-13,14970,0,41,3644
F12022,10,EAO+M1a,1022,1.0231815394945443e-12,14970,0,31,3361
F12022,10,EAO+M1a,1023,2.6409452402731404e-10,14970,0,27,3788
F12022,10,EAO+M1a,1024,1.0402345651527867e-11,14970,0,31,3709
F12022,10,EAO+M1a,1025,1.1368683772161603e-13,14970,0,41,2919
F12022,10,EAO+M1a,1026,4.6128434405545704e-10,14970,0,41,3662
F12022,10,EAO+M1a,1027,4.519051799434237e-11,14970,0,37,3778
F12022,10,EAO+M1a,1028,1.1368683772161603e-13,14970,0,46,3115
F12022,10,EAO+M1a,1029,3.410605131648481e-13,14970,0,43,3432
F12022,10,EAO+M1,1000,4.263256414560601e-12,14970,0,36,3658
F12022,10,EAO+M1,1001,2.2737367544323206e-13,14976,1,56,3327
F12022,10,EAO+M1,1002,8.197389433917124e-10,14970,0,34,3606
F12022,10,EAO+M1,1003,2.2230165086511988e-07,14970,0,36,3722
F12022,10,EAO+M1,1004,3.979039320256561e-13,14970,0,40,3580
F12022,10,EAO+M1,1005,2.2737367544323206e-13,14982,2,50,2900
F12022,10,EAO+M1,1006,5.684341886080802e-14,14988,3,40,2714
F12022,10,EAO+M1,1007,1.1368683772161603e-13,14970,0,32,3533
F12022,10,EAO+M1,1008,8.981260180007666e-12,14970,0,49,3716
F12022,10,EAO+M1,1009,1.460875864722766e-11,14970,0,44,3576
F12022,10,EAO+M1,1010,1.921307557495311e-11,14970,0,32,3712
F12022,10,EAO+M1,1011,1.7053025658242404e-13,14970,0,31,3319
F12022,10,EAO+M1,1012,6.857590051367879e-10,14970,0,31,3824
F12022,10,EAO+M1,1013,1.8678747437661514e-10,14970,0,41,3651
F12022,10,EAO+M1,1014,1.7053025658242404e-13,14970,0,41,3272
F12022,10,EAO+M1,1015,1.7053025658242404e-13,14976,1,34,3225
F12022,10,EAO+M1,1016,1.1368683772161603e-12,14970,0,40,3557
F12022,10,EAO+M1,1017,2.4442670110147446e-11,14970,0,40,3628
F12022,10,EAO+M1,1018,4.638422979041934e-11,14970,0,37,3707
F12022,10,EAO+M1,1019,5.684341886080802e-14,14970,0,46,3373
F12022,10,EAO+M1,1020,3.751665644813329e-12,14970,0,25,3714
F12022,10,EAO+M1,1021,2.8421709430404007e-13,14970,0,41,3644
F12022,10,EAO+M1,1022,1.0231815394945443e-12,14976,1,31,3377
F12022,10,EAO+M1,1023,2.6409452402731404e-10,14970,0,27,3788
F12022,10,EAO+M1,1024,1.0402345651527867e-11,14970,0,31,3709
F12022,10,EAO+M1,1025,1.1368683772161603e-13,14982,2,41,3006
F12022,10,EAO+M1,1026,4.6128434405545704e-10,14970,0,41,3662
F12022,10,EAO+M1,1027,4.519051799434237e-11,14970,0,37,3778
F12022,10,EAO+M1,1028,1.1368683772161603e-13,14982,2,47,3177
F12022,10,EAO+M1,1029,3.410605131648481e-13,14970,0,43,3432
F12022,10,KE-EAO,1000,1.1368683772161603e-13,15012,7,1127,1362
F12022,10,KE-EAO,1001,1.1368683772161603e-13,15018,8,1098,1303
F12022,10,KE-EAO,1002,5.684341886080802e-14,15018,8,1114,1251
F12022,10,KE-EAO,1003,1.7053025658242404e-13,15018,8,1135,1272
F12022,10,KE-EAO,1004,5.684341886080802e-14,15018,8,1101,1275
F12022,10,KE-EAO,1005,1.1368683772161603e-13,15024,9,1058,1243
F12022,10,KE-EAO,1006,5.684341886080802e-14,15024,9,1082,1295
F12022,10,KE-EAO,1007,5.684341886080802e-14,15024,9,1120,1267
F12022,10,KE-EAO,1008,5.684341886080802e-14,15024,9,1075,1257
F12022,10,KE-EAO,1009,5.684341886080802e-14,15018,8,1151,1301
F12022,10,KE-EAO,1010,2.8421709430404007e-13,15018,8,1038,1331
F12022,10,KE-EAO,1011,0.0,15018,8,1042,1284
F12022,10,KE-EAO,1012,1.7053025658242404e-13,15024,9,1061,1288
F12022,10,KE-EAO,1013,5.684341886080802e-14,15024,9,1118,1231
F12022,10,KE-EAO,1014,5.684341886080802e-14,15018,8,1109,1252
F12022,10,KE-EAO,1015,5.684341886080802e-14,15024,9,1030,1253
F12022,10,KE-EAO,1016,5.684341886080802e-14,15024,9,1022,1251
F12022,10,KE-EAO,1017,5.684341886080802e-14,15024,9,1014,1261
F12022,10,KE-EAO,1018,1.1368683772161603e-13,15024,9,1021,1323
F12022,10,KE-EAO,1019,5.684341886080802e-14,15024,9,1089,1299
F12022,10,KE-EAO,1020,5.684341886080802e-14,15024,9,1076,1285
F12022,10,KE-EAO,1021,5.684341886080802e-14,15024,9,1123,1290
F12022,10,KE-EAO,1022,1.1368683772161603e-13,15024,9,1026,1252
F12022,10,KE-EAO,1023,5.684341886080802e-14,15018,8,1100,1307
F12022,10,KE-EAO,1024,2.8421709430404007e-13,15024,9,1060,1317
F12022,10,KE-EAO,1025,1.7053025658242404e-13,15018,8,1121,1292
F12022,10,KE-EAO,1026,1.1368683772161603e-13,15024,9,1022,1296
F12022,10,KE-EAO,1027,1.1368683772161603e-13,15024,9,996,1296
F12022,10,KE-EAO,1028,1.1368683772161603e-13,15024,9,1024,1297
F12022,10,KE-EAO,1029,5.684341886080802e-14,15018,8,1114,1313
