dim,function,variant,median,mean,std
10,F102022,EAO,222.5376875444406,229.86523048779625,26.585321930511554
10,F102022,EAO+M1,222.49973520719482,227.16687344334187,23.792547591633415
10,F102022,EAO+M1a,222.49973520719482,227.16687344334187,23.792547591633415
10,F102022,EAO+M2,222.43670780820753,238.70974978451343,37.75098127399971
10,F102022,KE-EAO,222.5376874926992,248.3517999009255,53.15685222485574
10,F112022,EAO,1.99782462004805e-05,29.95024330076335,159.85867787990222
10,F112022,EAO+M1,0.0008815156054424733,0.002299174307290741,0.0031591156171700023
10,F112022,EAO+M1a,0.0008815156054424733,0.002299174307290741,0.0031591156171700023
10,F112022,EAO+M2,3.637978807091713e-12,351.4219022382707,436.48165696323014
10,F112022,KE-EAO,6.191060833771189e-05,351.5078173302073,436.3102883331386
10,F12022,EAO,7.781579824950313e-10,1.3824636577434528e-06,7.269223069574755e-06
10,F12022,EAO+M1,2.4442670110147446e-12,7.496705241768116e-09,4.057070097339505e-08
10,F12022,EAO+M1a,2.4442670110147446e-12,7.496705241768116e-09,4.05707009733978e-08
10,F12022,EAO+M2,5.684341886080802e-14,4.9264296346033615e-14,4.151256367437222e-14
10,F12022,KE-EAO,5.684341886080802e-14,9.663381206337362e-14,6.53251745464434e-14
10,F122022,EAO,166.44760077739534,166.34266538623103,1.39024817006289
10,F122022,EAO+M1,166.02968277853188,166.2240293022663,1.3713599469762727
10,F122022,EAO+M1a,166.02968277853188,166.2240293022663,1.3713599469762727
10,F122022,EAO+M2,166.9512527087138,169.88611553723234,9.447293461233787
10,F122022,KE-EAO,166.48464516086278,168.37174978000192,3.5663671587857295
10,F22022,EAO,6.5689086391595595,5.931526101381036,3.389874709846648
10,F22022,EAO+M1,5.5225953740402645,5.630809819564253,3.130828962297946
10,F22022,EAO+M1a,5.5225953740402645,5.630809819564253,3.130828962297946
10,F22022,EAO+M2,4.0469367971785175,5.865863602496167,2.887315606462062
10,F22022,KE-EAO,4.021449245248675,5.579492434089952,2.449632733526593
10,F32022,EAO,4.547473508864641e-13,9.208633855450898e-13,2.3328212793967478e-12
10,F32022,EAO+M1,2.2737367544323206e-13,2.917962168188145e-13,2.54532711190134e-13
10,F32022,EAO+M1a,2.2737367544323206e-13,5.115907697472721e-13,7.076161330159018e-13
10,F32022,EAO+M2,0.0,4.5474735088646414e-14,5.664706794987522e-14
10,F32022,KE-EAO,1.1368683772161603e-13,1.1368683772161603e-13,8.444446310798042e-14
10,F42022,EAO,43.18825562720468,44.22228808032163,15.31950286469871
10,F42022,EAO+M1,68.32389192311228,66.79570171917308,13.452003917214798
10,F42022,EAO+M1a,68.32389192311228,66.79570171917308,13.452003917214798
10,F42022,EAO+M2,43.027621516931504,42.95751623381288,11.942810113387305
10,F42022,KE-EAO,66.00279390154623,64.18584211045456,14.775332105450463
10,F52022,EAO,8.909266512091563e-06,0.014936162736531363,0.03393592530740224
10,F52022,EAO+M1,0.19814489374090272,0.1980734603987647,0.08747984674751837
10,F52022,EAO+M1a,0.19814489374090272,0.1980734603987647,0.08747984674751837
10,F52022,EAO+M2,1.1368683772161603e-13,0.0029842750140119277,0.016345547429003737
10,F52022,KE-EAO,0.030201421663605288,0.055410307651997455,0.06906913777590645
10,F62022,EAO,1724.9163790943335,3340.966469674413,3571.9026786309973
10,F62022,EAO+M1,24.95463626468245,95.18178073920485,305.6410035039904
10,F62022,EAO+M1a,24.95463626468245,95.13936444673772,305.65279826318147
10,F62022,EAO+M2,554.9415687495875,1809.842952238899,3664.3380291438693
10,F62022,KE-EAO,38.898203736775486,928.0536683415147,2353.8758934219813
10,F72022,EAO,35.82886780764818,34.93919319964776,5.368505535774808
10,F72022,EAO+M1,53.74132652652929,53.034730340315555,9.587901126962267
10,F72022,EAO+M1a,53.74132652652929,53.034730340315555,9.587901126962267
10,F72022,EAO+M2,33.97881050905255,37.21353613618977,19.227295904439213
10,F72022,KE-EAO,47.68670684121207,49.0615323248549,18.425600030911784
10,F82022,EAO,24.560394604479143,20.744001261961998,7.191612138299901
10,F82022,EAO+M1,26.44223100598947,25.058205599251536,3.9171598191079706
10,F82022,EAO+M1a,26.44223100598947,25.058205599251536,3.9171598191079706
10,F82022,EAO+M2,24.23663585650729,22.39800234095431,20.638762344383142
10,F82022,KE-EAO,24.45791997247511,25.77790737568618,19.574307560955095
10,F92022,EAO,5.940258415648714e-05,60.08331105843565,136.65166104238781
10,F92022,EAO+M1,0.010425310171513047,12.055079342367646,65.54583908855604
10,F92022,EAO+M1a,0.010425310171513047,12.055079342367646,65.54583908855604
10,F92022,EAO+M2,359.0943447803611,323.18819243807604,109.57106051568667
10,F92022,KE-EAO,359.09434478036246,311.21838219042485,124.15670985901805
