function,dim,variant,seed,err,feeds
F12022,10,EAO,1000,1.8974333215737715e-10,0
F12022,10,EAO,1001,7.409539648506325e-09,0
F12022,10,EAO,1002,5.240963218966499e-11,0
F12022,10,EAO,1003,2.8598321932804538e-08,0
F12022,10,EAO,1004,1.0965095498249866e-10,0
F12022,10,EAO,1005,2.4363089323742315e-10,0
F12022,10,EAO,1006,3.070683192163415e-07,0
F12022,10,EAO,1007,7.048583938740194e-12,0
F12022,10,EAO,1008,3.9857176432178676e-05,0
F12022,10,EAO,1009,1.0154718665944529e-06,0
F12022,10,EAO,1010,3.660716174636036e-11,0
F12022,10,EAO,1011,3.75485456061142e-08,0
F12022,10,EAO,1012,8.139977580867708e-11,0
F12022,10,EAO,1013,1.3828201872456702e-07,0
F12022,10,EAO,1014,6.44962483420386e-09,0
F12022,10,EAO,1015,1.7547563402331434e-10,0
F12022,10,EAO,1016,1.4267698134062812e-11,0
F12022,10,EAO,1017,6.432401278289035e-10,0
F12022,10,EAO,1018,6.976279109949246e-09,0
F12022,10,EAO,1019,1.1368683772161603e-13,0
F12022,10,EAO,1020,1.801936377887614e-11,0
F12022,10,EAO,1021,2.0272238998586545e-08,0
F12022,10,EAO,1022,2.2130166144052055e-08,0
F12022,10,EAO,1023,3.979039320256561e-13,0
F12022,10,EAO,1024,5.589527063420974e-09,0
F12022,10,EAO,1025,2.977458279929124e-10,0
F12022,10,EAO,1026,1.8428636394673958e-10,0
F12022,10,EAO,1027,9.130758371611591e-10,0
F12022,10,EAO,1028,1.4684360394312534e-09,0
F12022,10,EAO,1029,1.6501303434779402e-08,0
F12022,10,EAO+M2,1000,0.0,0
F12022,10,EAO+M2,1001,0.0,0
F12022,10,EAO+M2,1002,5.684341886080802e-14,0
F12022,10,EAO+M2,1003,5.684341886080802e-14,0
F12022,10,EAO+M2,1004,5.684341886080802e-14,0
F12022,10,EAO+M2,1005,5.684341886080802e-14,0
F12022,10,EAO+M2,1006,5.684341886080802e-14,0
F12022,10,EAO+M2,1007,0.0,0
F12022,10,EAO+M2,1008,1.1368683772161603e-13,0
F12022,10,EAO+M2,1009,5.684341886080802e-14,0
F12022,10,EAO+M2,1010,5.684341886080802e-14,0
F12022,10,EAO+M2,1011,5.684341886080802e-14,0
F12022,10,EAO+M2,1012,1.1368683772161603e-13,0
F12022,10,EAO+M2,1013,0.0,0
F12022,10,EAO+M2,1014,5.684341886080802e-14,0
F12022,10,EAO+M2,1015,0.0,0
F12022,10,EAO+M2,1016,0.0,0
F12022,10,EAO+M2,1017,1.1368683772161603e-13,0
F12022,10,EAO+M2,1018,5.684341886080802e-14,0
F12022,10,EAO+M2,1019,1.1368683772161603e-13,0
F12022,10,EAO+M2,1020,0.0,0
F12022,10,EAO+M2,1021,5.684341886080802e-14,0
F12022,10,EAO+M2,1022,1.1368683772161603e-13,0
F12022,10,EAO+M2,1023,5.684341886080802e-14,0
F12022,10,EAO+M2,1024,1.1368683772161603e-13,0
F12022,10,EAO+M2,1025,0.0,0
F12022,10,EAO+M2,1026,0.0,0
F12022,10,EAO+M2,1027,0.0,0
F12022,10,EAO+M2,1028,5.684341886080802e-14,0
F12022,10,EAO+M2,1029,5.684341886080802e-14,0
F12022,10,EAO+feed,1000,1.8974333215737715e-10,0
F12022,10,EAO+feed,1001,7.409539648506325e-09,0
F12022,10,EAO+feed,1002,5.240963218966499e-11,0
F12022,10,EAO+feed,1003,2.8598321932804538e-08,0
F12022,10,EAO+feed,1004,1.0965095498249866e-10,0
F12022,10,EAO+feed,1005,2.4363089323742315e-10,0
F12022,10,EAO+feed,1006,3.070683192163415e-07,0
F12022,10,EAO+feed,1007,7.048583938740194e-12,0
F12022,10,EAO+feed,1008,3.9857176432178676e-05,0
F12022,10,EAO+feed,1009,1.0154718665944529e-06,0
F12022,10,EAO+feed,1010,3.660716174636036e-11,0
F12022,10,EAO+feed,1011,3.75485456061142e-08,0
F12022,10,EAO+feed,1012,8.139977580867708e-11,0
F12022,10,EAO+feed,1013,1.3828201872456702e-07,0
F12022,10,EAO+feed,1014,6.44962483420386e-09,0
F12022,10,EAO+feed,1015,1.7547563402331434e-10,0
F12022,10,EAO+feed,1016,1.4267698134062812e-11,1
F12022,10,EAO+feed,1017,6.432401278289035e-10,0
F12022,10,EAO+feed,1018,6.976279109949246e-09,0
F12022,10,EAO+feed,1019,1.1368683772161603e-13,0
F12022,10,EAO+feed,1020,1.801936377887614e-11,0
F12022,10,EAO+feed,1021,2.0272238998586545e-08,0
F12022,10,EAO+feed,1022,2.2130166144052055e-08,0
F12022,10,EAO+feed,1023,3.979039320256561e-13,0
F12022,10,EAO+feed,1024,5.589527063420974e-09,0
F12022,10,EAO+feed,1025,2.977458279929124e-10,0
F12022,10,EAO+feed,1026,1.8428636394673958e-10,0
F12022,10,EAO+feed,1027,9.130758371611591e-10,0
F12022,10,EAO+feed,1028,1.4684360394312534e-09,0
F12022,10,EAO+feed,1029,1.6501303434779402e-08,0
F12022,10,RS-EAO,1000,0.0,7
F12022,10,RS-EAO,1001,0.0,7
F12022,10,RS-EAO,1002,5.684341886080802e-14,7
F12022,10,RS-EAO,1003,5.684341886080802e-14,7
F12022,10,RS-EAO,1004,5.684341886080802e-14,7
F12022,10,RS-EAO,1005,5.684341886080802e-14,7
F12022,10,RS-EAO,1006,5.684341886080802e-14,8
F12022,10,RS-EAO,1007,0.0,7
F12022,10,RS-EAO,1008,1.1368683772161603e-13,7
F12022,10,RS-EAO,1009,5.684341886080802e-14,7
F12022,10,RS-EAO,1010,5.684341886080802e-14,7
F12022,10,RS-EAO,1011,5.684341886080802e-14,7
F12022,10,RS-EAO,1012,1.1368683772161603e-13,7
F12022,10,RS-EAO,1013,0.0,7
F12022,10,RS-EAO,1014,1.1368683772161603e-13,7
F12022,10,RS-EAO,1015,0.0,7
F12022,10,RS-EAO,1016,0.0,6
F12022,10,RS-EAO,1017,1.1368683772161603e-13,8
F12022,10,RS-EAO,1018,5.684341886080802e-14,8
F12022,10,RS-EAO,1019,1.1368683772161603e-13,6
F12022,10,RS-EAO,1020,0.0,7
F12022,10,RS-EAO,1021,5.684341886080802e-14,8
F12022,10,RS-EAO,1022,1.1368683772161603e-13,7
F12022,10,RS-EAO,1023,5.684341886080802e-14,8
F12022,10,RS-EAO,1024,1.1368683772161603e-13,7
F12022,10,RS-EAO,1025,0.0,7
F12022,10,RS-EAO,1026,0.0,7
F12022,10,RS-EAO,1027,0.0,7
F12022,10,RS-EAO,1028,5.684341886080802e-14,8
F12022,10,RS-EAO,1029,5.684341886080802e-14,8
F22022,10,EAO,1000,8.916102028550597,0
F22022,10,EAO,1001,6.028928928073299,0
F22022,10,EAO,1002,8.916101928768569,0
F22022,10,EAO,1003,6.899807865824641,0
F22022,10,EAO,1004,8.916101927801378,0
F22022,10,EAO,1005,8.916101927782279,0
F22022,10,EAO,1006,4.576264576873655,0
F22022,10,EAO,1007,0.004909385179189485,0
F22022,10,EAO,1008,0.006850131543330917,0
F22022,10,EAO,1009,8.91610192785862,0
F22022,10,EAO,1010,0.011816550606624787,0
F22022,10,EAO,1011,6.460471930703989,0
F22022,10,EAO,1012,5.866252444878285,0
F22022,10,EAO,1013,8.91610205447273,0
F22022,10,EAO,1014,8.916102001351874,0
