function,dim,variant,seed,err,iters,c1_acc,c2_acc
F12022,10,code3|orig,1000,1.8974333215737715e-10,166,33,3779
F12022,10,code3|orig,1001,7.409539648506325e-09,166,44,3740
F12022,10,code3|orig,1002,5.240963218966499e-11,166,39,3766
F12022,10,code3|orig,1003,2.8598321932804538e-08,166,40,3694
F12022,10,code3|orig,1004,1.0965095498249866e-10,166,30,3760
F12022,10,code3|orig,1005,2.4363089323742315e-10,166,38,3730
F12022,10,code3|orig,1006,3.070683192163415e-07,166,36,3794
F12022,10,code3|orig,1007,7.048583938740194e-12,166,41,3696
F12022,10,code3|orig,1008,3.9857176432178676e-05,166,37,3831
F12022,10,code3|orig,1009,1.0154718665944529e-06,166,38,3861
F12022,10,code3|orig,1010,3.660716174636036e-11,166,36,3705
F12022,10,code3|orig,1011,3.75485456061142e-08,166,38,3859
F12022,10,code3|orig,1012,8.139977580867708e-11,166,30,3815
F12022,10,code3|orig,1013,1.3828201872456702e-07,166,46,3711
F12022,10,code3|orig,1014,6.44962483420386e-09,166,38,3822
F12022,10,code3|orig,1015,1.7547563402331434e-10,166,43,3818
F12022,10,code3|orig,1016,1.4267698134062812e-11,166,31,3291
F12022,10,code3|orig,1017,6.432401278289035e-10,166,42,3752
F12022,10,code3|orig,1018,6.976279109949246e-09,166,40,3761
F12022,10,code3|orig,1019,1.1368683772161603e-13,166,38,3687
F12022,10,code3|orig,1020,1.801936377887614e-11,166,31,3773
F12022,10,code3|orig,1021,2.0272238998586545e-08,166,37,3772
F12022,10,code3|orig,1022,2.2130166144052055e-08,166,36,3826
F12022,10,code3|orig,1023,3.979039320256561e-13,166,27,3682
F12022,10,code3|orig,1024,5.589527063420974e-09,166,34,3779
F12022,10,code3|orig,1025,2.977458279929124e-10,166,32,3694
F12022,10,code3|orig,1026,1.8428636394673958e-10,166,40,3755
F12022,10,code3|orig,1027,9.130758371611591e-10,166,43,3808
F12022,10,code3|orig,1028,1.4684360394312534e-09,166,40,3761
F12022,10,code3|orig,1029,1.6501303434779402e-08,166,38,3782
F12022,10,code3|centroid,1000,0.0,166,1378,1335
F12022,10,code3|centroid,1001,0.0,166,1342,1322
F12022,10,code3|centroid,1002,5.684341886080802e-14,166,1434,1340
F12022,10,code3|centroid,1003,5.684341886080802e-14,166,1329,1351
F12022,10,code3|centroid,1004,5.684341886080802e-14,166,1353,1298
F12022,10,code3|centroid,1005,5.684341886080802e-14,166,1430,1366
F12022,10,code3|centroid,1006,5.684341886080802e-14,166,1332,1360
F12022,10,code3|centroid,1007,0.0,166,1455,1324
F12022,10,code3|centroid,1008,1.1368683772161603e-13,166,1394,1306
F12022,10,code3|centroid,1009,5.684341886080802e-14,166,1379,1262
F12022,10,code3|centroid,1010,5.684341886080802e-14,166,1294,1299
F12022,10,code3|centroid,1011,5.684341886080802e-14,166,1428,1376
F12022,10,code3|centroid,1012,1.1368683772161603e-13,166,1322,1297
F12022,10,code3|centroid,1013,0.0,166,1386,1401
F12022,10,code3|centroid,1014,1.1368683772161603e-13,166,1382,1272
F12022,10,code3|centroid,1015,0.0,166,1340,1362
F12022,10,code3|centroid,1016,0.0,166,1477,1339
F12022,10,code3|centroid,1017,1.1368683772161603e-13,166,1342,1347
F12022,10,code3|centroid,1018,5.684341886080802e-14,166,1341,1317
F12022,10,code3|centroid,1019,1.1368683772161603e-13,166,1505,1333
F12022,10,code3|centroid,1020,0.0,166,1361,1302
F12022,10,code3|centroid,1021,5.684341886080802e-14,166,1253,1360
F12022,10,code3|centroid,1022,1.1368683772161603e-13,166,1329,1361
F12022,10,code3|centroid,1023,5.684341886080802e-14,166,1290,1319
F12022,10,code3|centroid,1024,1.1368683772161603e-13,166,1347,1276
