function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F12022,10,M1a_Km0.1,1000,4.263256414560601e-12,,,,
F12022,10,M1a_Km0.1,1001,1.7053025658242404e-13,,,,
F12022,10,M1a_Km0.1,1002,8.197389433917124e-10,,,,
F12022,10,M1a_Km0.1,1003,2.2230165086511988e-07,,,,
F12022,10,M1a_Km0.1,1004,3.979039320256561e-13,,,,
F12022,10,M1a_Km0.1,1005,2.8421709430404007e-13,,,,
F12022,10,M1a_Km0.1,1006,5.684341886080802e-14,,,,
F12022,10,M1a_Km0.1,1007,1.1368683772161603e-13,,,,
F12022,10,M1a_Km0.1,1008,8.981260180007666e-12,,,,
F12022,10,M1a_Km0.1,1009,1.460875864722766e-11,,,,
F12022,10,M1a_Km0.1,1010,1.921307557495311e-11,,,,
F12022,10,M1a_Km0.1,1011,1.7053025658242404e-13,,,,
F12022,10,M1a_Km0.1,1012,6.857590051367879e-10,,,,
F12022,10,M1a_Km0.1,1013,1.8678747437661514e-10,,,,
F12022,10,M1a_Km0.1,1014,1.7053025658242404e-13,,,,
F12022,10,M1a_Km0.1,1015,1.7053025658242404e-13,,,,
F12022,10,M1a_Km0.1,1016,1.1368683772161603e-12,,,,
F12022,10,M1a_Km0.1,1017,2.4442670110147446e-11,,,,
F12022,10,M1a_Km0.1,1018,4.638422979041934e-11,,,,
F12022,10,M1a_Km0.1,1019,5.684341886080802e-14,,,,
F12022,10,M1a_Km0.1,1020,3.751665644813329e-12,,,,
F12022,10,M1a_Km0.1,1021,2.8421709430404007e-13,,,,
F12022,10,M1a_Km0.1,1022,1.0231815394945443e-12,,,,
F12022,10,M1a_Km0.1,1023,2.6409452402731404e-10,,,,
F12022,10,M1a_Km0.1,1024,1.0402345651527867e-11,,,,
F12022,10,M1a_Km0.1,1025,1.1368683772161603e-13,,,,
F12022,10,M1a_Km0.1,1026,4.6128434405545704e-10,,,,
F12022,10,M1a_Km0.1,1027,4.519051799434237e-11,,,,
F12022,10,M1a_Km0.1,1028,1.1368683772161603e-13,,,,
