t,AF,variant
1,0.044721359549995794,EAO
2,0.06324555320336758,EAO
3,0.07745966692414834,EAO
4,0.08944271909999159,EAO
5,0.1,EAO
6,0.10954451150103323,EAO
7,0.11832159566199232,EAO
8,0.12649110640673517,EAO
9,0.1341640786499874,EAO
10,0.1414213562373095,EAO
11,0.14832396974191325,EAO
12,0.15491933384829668,EAO
13,0.161245154965971,EAO
14,0.1673320053068151,EAO
15,0.17320508075688773,EAO
16,0.17888543819998318,EAO
17,0.18439088914585774,EAO
18,0.18973665961010275,EAO
19,0.19493588689617927,EAO
20,0.2,EAO
21,0.20493901531919198,EAO
22,0.20976176963403032,EAO
23,0.21447610589527216,EAO
24,0.21908902300206645,EAO
25,0.22360679774997896,EAO
26,0.22803508501982758,EAO
27,0.232379000772445,EAO
28,0.23664319132398465,EAO
29,0.24083189157584592,EAO
30,0.2449489742783178,EAO
31,0.24899799195977465,EAO
32,0.25298221281347033,EAO
33,0.2569046515733026,EAO
34,0.260768096208106,EAO
35,0.2645751311064591,EAO
36,0.2683281572999748,EAO
37,0.2720294101747089,EAO
38,0.27568097504180444,EAO
39,0.2792848008753788,EAO
40,0.282842712474619,EAO
41,0.2863564212655271,EAO
42,0.28982753492378877,EAO
43,0.29325756597230357,EAO
44,0.2966479394838265,EAO
45,0.3,EAO
46,0.30331501776206204,EAO
47,0.3065941943351178,EAO
48,0.30983866769659335,EAO
49,0.31304951684997057,EAO
50,0.31622776601683794,EAO
51,0.31937438845342625,EAO
52,0.322490309931942,EAO
53,0.3255764119219941,EAO
54,0.3286335345030997,EAO
55,0.33166247903553997,EAO
56,0.3346640106136302,EAO
57,0.33763886032268264,EAO
58,0.34058772731852804,EAO
59,0.34351128074635334,EAO
60,0.34641016151377546,EAO
61,0.3492849839314596,EAO
62,0.35213633723318016,EAO
63,0.35496478698597694,EAO
64,0.35777087639996635,EAO
65,0.36055512754639896,EAO
66,0.363318042491699,EAO
67,0.36606010435446257,EAO
68,0.3687817782917155,EAO
69,0.3714835124201342,EAO
70,0.37416573867739417,EAO
71,0.37682887362833545,EAO
72,0.3794733192202055,EAO
73,0.382099463490856,EAO
74,0.3847076812334269,EAO
75,0.3872983346207417,EAO
76,0.38987177379235854,EAO
77,0.3924283374069717,EAO
78,0.39496835316262996,EAO
79,0.39749213828703583,EAO
80,0.4,EAO
81,0.40249223594996214,EAO
82,0.4049691346263318,EAO
83,0.4074309757492673,EAO
84,0.40987803063838396,EAO
85,0.41231056256176607,EAO
86,0.4147288270665544,EAO
87,0.4171330722922842,EAO
88,0.41952353926806063,EAO
89,0.4219004621945797,EAO
90,0.4242640687119285,EAO
91,0.4266145801540308,EAO
92,0.4289522117905443,EAO
93,0.4312771730569565,EAO
94,0.433589667773576,EAO
95,0.43588989435406733,EAO
96,0.4381780460041329,EAO
97,0.4404543109109048,EAO
98,0.4427188724235731,EAO
99,0.4449719092257398,EAO
100,0.4472135954999579,EAO
101,0.44944410108488464,EAO
102,0.45166359162544856,EAO
103,0.4538722287164087,EAO
104,0.45607017003965516,EAO
105,0.458257569495584,EAO
106,0.4604345773288535,EAO
107,0.4626013402488151,EAO
108,0.46475800154489,EAO
109,0.4669047011971501,EAO
110,0.469041575982343,EAO
111,0.47116875957558985,EAO
112,0.4732863826479693,EAO
113,0.4753945729601885,EAO
114,0.4774934554525329,EAO
115,0.47958315233127197,EAO
116,0.48166378315169184,EAO
117,0.48373546489791297,EAO
118,0.48579831205964474,EAO
119,0.4878524367060187,EAO
120,0.4898979485566356,EAO
121,0.4919349550499537,EAO
122,0.4939635614091388,EAO
123,0.49598387070548977,EAO
124,0.4979959839195493,EAO
125,0.5,EAO
126,0.5019960159204453,EAO
127,0.5039841267341661,EAO
128,0.5059644256269407,EAO
129,0.5079370039680118,EAO
130,0.5099019513592785,EAO
131,0.5118593556827891,EAO
132,0.5138093031466052,EAO
133,0.5157518783291051,EAO
134,0.5176871642217914,EAO
135,0.5196152422706632,EAO
136,0.521536192416212,EAO
137,0.523450093132096,EAO
138,0.5253570214625479,EAO
139,0.5272570530585627,EAO
140,0.5291502622129182,EAO
141,0.5310367218940701,EAO
142,0.532916503778969,EAO
143,0.5347896782848375,EAO
144,0.5366563145999496,EAO
145,0.5385164807134504,EAO
146,0.5403702434442518,EAO
147,0.5422176684690383,EAO
148,0.5440588203494178,EAO
149,0.5458937625582472,EAO
150,0.5477225575051661,EAO
151,0.5495452665613635,EAO
152,0.5513619500836089,EAO
153,0.5531726674375732,EAO
154,0.5549774770204643,EAO
155,0.5567764362830022,EAO
156,0.5585696017507576,EAO
157,0.5603570290448759,EAO
158,0.5621387729022078,EAO
159,0.5639148871948674,EAO
160,0.565685424949238,EAO
161,0.5674504383644443,EAO
162,0.5692099788303083,EAO
163,0.5709640969448079,EAO
164,0.5727128425310541,EAO
165,0.5744562646538028,EAO
166,0.5761944116355173,EAO
167,0.5779273310719956,EAO
168,0.5796550698475775,EAO
169,0.5813776741499453,EAO
170,0.5830951894845301,EAO
171,0.5848076606885378,EAO
172,0.5865151319446071,EAO
173,0.5882176467941097,EAO
174,0.589915248150105,EAO
175,0.5916079783099616,EAO
176,0.593295878967653,EAO
177,0.5949789912257406,EAO
178,0.5966573556070519,EAO
179,0.5983310120660636,EAO
180,0.6,EAO
181,0.6016643582596529,EAO
182,0.6033241251599343,EAO
183,0.6049793384901669,EAO
184,0.6066300355241241,EAO
185,0.6082762530298219,EAO
186,0.6099180272790763,EAO
187,0.6115553940568262,EAO
188,0.6131883886702356,EAO
189,0.6148170459575759,EAO
190,0.6164414002968976,EAO
191,0.6180614856144977,EAO
192,0.6196773353931867,EAO
193,0.6212889826803627,EAO
194,0.6228964600958975,EAO
195,0.6244997998398398,EAO
196,0.6260990336999411,EAO
197,0.6276941930590086,EAO
198,0.6292853089020909,EAO
199,0.6308724118235002,EAO
200,0.6324555320336759,EAO
201,0.6340346993658943,EAO
202,0.6356099432828282,EAO
203,0.6371812928829597,EAO
204,0.6387487769068525,EAO
205,0.6403124237432849,EAO
206,0.6418722614352484,EAO
207,0.6434283176858164,EAO
208,0.644980619863884,EAO
209,0.6465291950097846,EAO
210,0.648074069840786,EAO
211,0.6496152707564686,EAO
212,0.6511528238439882,EAO
213,0.6526867548832288,EAO
214,0.6542170893518451,EAO
215,0.6557438524302001,EAO
216,0.6572670690061994,EAO
217,0.6587867636800242,EAO
218,0.6603029607687672,EAO
219,0.6618156843109719,EAO
220,0.6633249580710799,EAO
221,0.6648308055437865,EAO
222,0.6663332499583072,EAO
223,0.66783231428256,EAO
224,0.6693280212272604,EAO
225,0.6708203932499369,EAO
226,0.6723094525588644,EAO
227,0.6737952211169207,EAO
228,0.6752777206453653,EAO
229,0.6767569726275452,EAO
230,0.6782329983125268,EAO
231,0.6797058187186572,EAO
232,0.6811754546370561,EAO
233,0.6826419266350405,EAO
234,0.6841052550594828,EAO
235,0.6855654600401044,EAO
236,0.6870225614927067,EAO
237,0.6884765791223402,EAO
238,0.6899275324264136,EAO
239,0.6913754406977441,EAO
240,0.6928203230275509,EAO
241,0.6942621983083913,EAO
242,0.6957010852370434,EAO
243,0.697137002317335,EAO
244,0.6985699678629192,EAO
245,0.7,EAO
246,0.7014271166700072,EAO
247,0.7028513356322231,EAO
248,0.7042726744663603,EAO
249,0.705691150575094,EAO
250,0.7071067811865476,EAO
251,0.708519583356734,EAO
