t,AF,S,fed,variant
1,0.09090909090909094,1.0,0,EAO+M1
2,0.588551346090382,0.0699087100289179,0,EAO+M1
3,0.5571444905324763,0.07948665328167855,0,EAO+M1
4,0.5725949308319687,0.07464353003387934,0,EAO+M1
5,0.5840757825754261,0.07121065961519511,0,EAO+M1
6,0.671335675198778,0.04895677928986964,0,EAO+M1
7,0.7900172472830493,0.026579514996552665,0,EAO+M1
8,0.8673317619911087,0.015296135091874023,0,EAO+M1
9,0.9246783130453127,0.008145717909899364,0,EAO+M1
10,0.9640470919864057,0.003729372591074762,0,EAO+M1
11,0.9857320652547039,0.0014474455329409768,0,EAO+M1
12,0.9954294408346682,0.0004591545093843463,0,EAO+M1
13,0.9981599781364567,0.00018434137852116057,0,EAO+M1
14,0.9993769884898444,6.233998954659136e-05,0,EAO+M1
15,0.9997270504269639,2.7302409484628545e-05,0,EAO+M1
16,0.9998794564118074,1.205581207010836e-05,0,EAO+M1
17,0.9999391808215922,6.082287760523091e-06,0,EAO+M1
18,0.9999742323326837,2.576833130609379e-06,0,EAO+M1
19,0.9999913417265698,8.658348396551068e-07,0,EAO+M1
20,0.9999971346246798,2.8653835306394996e-07,0,EAO+M1
21,0.9999989308583868,1.0691427562781918e-07,0,EAO+M1
22,0.9999993815646566,6.184357258740789e-08,0,EAO+M1
23,0.9999997734516205,2.265484308393877e-08,0,EAO+M1
24,0.9999999070162432,9.298376547473618e-09,0,EAO+M1
25,0.9999999393836644,6.061633929601799e-09,0,EAO+M1
26,0.9999999660036326,3.399636852278367e-09,0,EAO+M1
27,0.9999999667927536,3.3207247546430586e-09,0,EAO+M1
28,0.9999999707299494,2.9270051485946126e-09,0,EAO+M1
29,0.9999999747487814,2.5251219179343418e-09,0,EAO+M1
30,0.999999975862444,2.4137556516053628e-09,0,EAO+M1
31,0.9999999769377146,2.3062285963155797e-09,0,EAO+M1
32,0.9999999778072372,2.2192763304748155e-09,0,EAO+M1
33,0.999999976969161,2.303083957332352e-09,0,EAO+M1
34,0.999999977934303,2.206569748814859e-09,0,EAO+M1
35,0.9999999772426981,2.2757302451845015e-09,0,EAO+M1
36,0.9999999774579165,2.2542083986967105e-09,0,EAO+M1
37,0.9999999773854831,2.2614517465851408e-09,0,EAO+M1
38,0.9999999773854831,2.2614517465851408e-09,0,EAO+M1
39,0.999999978968889,2.1031111403914197e-09,0,EAO+M1
40,0.999999979351934,2.064806645134635e-09,0,EAO+M1
41,0.9999999796437083,2.0356292019849345e-09,0,EAO+M1
42,0.9999999796437083,2.0356292019849345e-09,0,EAO+M1
43,0.9999999806747661,1.9325234199790895e-09,0,EAO+M1
44,0.9999999806747661,1.9325234199790895e-09,0,EAO+M1
45,0.9999999799239565,2.007604385868659e-09,0,EAO+M1
46,0.724423422689102,0.03804081545126492,6,EAO+M1
47,0.4783508699418658,0.10905156922188321,0,EAO+M1
48,0.4943226605914953,0.10229701766118159,0,EAO+M1
49,0.48986876319611194,0.10413630652331761,0,EAO+M1
50,0.5313061896030369,0.08821538682753645,0,EAO+M1
51,0.587820977331013,0.07011982194655182,0,EAO+M1
52,0.6347110742659219,0.05755200130335756,0,EAO+M1
53,0.6324868015032983,0.05810606602749563,0,EAO+M1
54,0.6964098498059103,0.043593603720381104,0,EAO+M1
55,0.7677761117631636,0.030246302884254173,0,EAO+M1
56,0.8008404596473271,0.0248688159986795,0,EAO+M1
57,0.8372579959981457,0.019437497734236597,0,EAO+M1
58,0.8615538763507002,0.016069351836210017,0,EAO+M1
59,0.8921421367341656,0.012089762250291859,0,EAO+M1
60,0.9198914233829802,0.008708481738248366,0,EAO+M1
61,0.9013761870069683,0.01094147087693912,0,EAO+M1
62,0.9247520335754902,0.0081370966153563,0,EAO+M1
63,0.9365939566270881,0.0067698539932131395,0,EAO+M1
64,0.9258916219546188,0.008004001363456931,0,EAO+M1
65,0.9179396326787933,0.008939625700846209,0,EAO+M1
66,0.924240645873305,0.008196929497199383,0,EAO+M1
67,0.943643840110947,0.005972185425639718,0,EAO+M1
68,0.9531822744527828,0.00491172851216679,0,EAO+M1
69,0.9441290018003973,0.005917729260838309,0,EAO+M1
70,0.9024025106065825,0.010815294532792665,0,EAO+M1
71,0.880995427003056,0.013507967164116865,0,EAO+M1
72,0.9073097599476542,0.010215942133995503,0,EAO+M1
73,0.9150634417143758,0.00928204039345022,0,EAO+M1
74,0.918918996508642,0.008823520223155553,0,EAO+M1
75,0.9407717649860178,0.006295707122424372,0,EAO+M1
76,0.9532624262656996,0.004902907368057054,0,EAO+M1
77,0.9176101926328187,0.008978737161886505,0,EAO+M1
78,0.9249433518692023,0.008114729186292005,0,EAO+M1
79,0.8963424690555294,0.011564500681719778,0,EAO+M1
80,0.8429432669608773,0.018631945849140047,0,EAO+M1
81,0.8466434985406648,0.018113468268955168,0,EAO+M1
82,0.872633645870923,0.014595627240794768,0,EAO+M1
83,0.8907511415853818,0.012264801392246803,0,EAO+M1
84,0.9015908048251199,0.01091506198246647,0,EAO+M1
85,0.9246473654684472,0.008149337503749606,0,EAO+M1
86,0.9558402387890593,0.004619993950755421,0,EAO+M1
87,0.9653219509595273,0.003592381692553743,0,EAO+M1
88,0.9748746250435897,0.0025772929473148265,0,EAO+M1
89,0.9831503988486315,0.0017138375950516828,0,EAO+M1
90,0.9790487195399243,0.0021399630112300355,0,EAO+M1
91,0.9716123697437912,0.002921703257410613,0,EAO+M1
92,0.9758386724811341,0.002475955114325833,0,EAO+M1
93,0.9841829380367753,0.0016071262111875548,0,EAO+M1
94,0.9853472238108968,0.0014870672829860522,0,EAO+M1
95,0.986520567670168,0.0013663610036702947,0,EAO+M1
96,0.9874516300121999,0.0012707832572664934,0,EAO+M1
97,0.9879203163261179,0.0012227386636610592,0,EAO+M1
98,0.9912239524964581,0.0008853748420262469,0,EAO+M1
99,0.9935438364191961,0.000649811648379037,0,EAO+M1
100,0.9909940096408371,0.0009087835316408146,0,EAO+M1
101,0.9847980457141973,0.001543662109400097,0,EAO+M1
102,0.9834889410855154,0.0016788250711045752,0,EAO+M1
103,0.9856036493073548,0.0014606632902346094,0,EAO+M1
104,0.9873709490957635,0.0012790583838629477,0,EAO+M1
105,0.9898094176308394,0.0010295499504896883,0,EAO+M1
106,0.9899948288467136,0.0010106286277214052,0,EAO+M1
107,0.986845168082474,0.0013330188304095337,0,EAO+M1
108,0.9889282116123816,0.0011195745310538306,0,EAO+M1
109,0.9832071798786203,0.0017079635365816592,0,EAO+M1
110,0.9781191945275779,0.0022370285334181923,0,EAO+M1
111,0.9747730826954119,0.0025879784487720446,0,EAO+M1
112,0.9782464716931407,0.0022237267331216112,0,EAO+M1
113,0.975540596081834,0.002507266639277228,0,EAO+M1
114,0.9835799524557642,0.0016694166552743243,0,EAO+M1
115,0.9881742047514145,0.001196731830452952,0,EAO+M1
116,0.9907512562881988,0.0009335081488012621,0,EAO+M1
117,0.9938156544283013,0.0006222829701003481,0,EAO+M1
118,0.9942829446025232,0.0005749928054697058,0,EAO+M1
119,0.9961330370891013,0.00038819743617767147,0,EAO+M1
120,0.9916188711419843,0.0008451965873101666,0,EAO+M1
121,0.9871621130289356,0.0013004841658350848,0,EAO+M1
122,0.9883667162581681,0.0011770209933691534,0,EAO+M1
123,0.9887255352264928,0.0011403027808849448,0,EAO+M1
124,0.9920270215314442,0.0008037057757002921,0,EAO+M1
125,0.9893987492440819,0.00107148414772281,0,EAO+M1
126,0.9896594233165203,0.0010448621454870353,0,EAO+M1
127,0.9901884125953153,0.000990880854580814,0,EAO+M1
128,0.9888494194950287,0.0011276317996592017,0,EAO+M1
129,0.9783055924823421,0.002217549167087026,0,EAO+M1
130,0.981798161276267,0.0018539287851254429,0,EAO+M1
131,0.9799385967645434,0.002047210233548635,0,EAO+M1
132,0.9663189381846966,0.0034855015755539107,0,EAO+M1
133,0.972850387322564,0.002790728464646649,0,EAO+M1
134,0.9746254052288964,0.002603522813479733,0,EAO+M1
135,0.9730030389379727,0.0027746019263716133,0,EAO+M1
136,0.9814970135622771,0.001885180105700734,0,EAO+M1
137,0.9856745631595184,0.0014533637547226878,0,EAO+M1
138,0.9877510432262105,0.0012400854302093835,0,EAO+M1
139,0.9901047534290314,0.0009994141061032606,0,EAO+M1
140,0.9930653549726511,0.0006983070139970597,0,EAO+M1
141,0.9941388298468145,0.0005895726006486159,0,EAO+M1
142,0.994840111546642,0.0005186650993933201,0,EAO+M1
143,0.9974570968143104,0.0002549386027540656,0,EAO+M1
144,0.9982722401435028,0.00017307501771749776,0,EAO+M1
145,0.9987136351360968,0.0001288021729800343,0,EAO+M1
146,0.9988318761338424,0.00011694899753089506,0,EAO+M1
147,0.99890811389857,0.00010930796198746544,0,EAO+M1
148,0.9989300766355641,0.00010710693265332814,0,EAO+M1
149,0.9993117524394515,6.887215714900209e-05,0,EAO+M1
150,0.9994964639884754,5.037896877746816e-05,0,EAO+M1
151,0.999780814563788,2.1923348899989724e-05,0,EAO+M1
152,0.9998520707983948,1.4795108789151095e-05,0,EAO+M1
153,0.999841742029727,1.5828301982244317e-05,0,EAO+M1
154,0.9998224461111285,1.7758541985338677e-05,0,EAO+M1
155,0.9998314830858709,1.685453168657526e-05,0,EAO+M1
156,0.9998345020420609,1.6552535204677187e-05,0,EAO+M1
157,0.999814579801445,1.8545458558110662e-05,0,EAO+M1
158,0.9997869997916822,2.1304558707229205e-05,0,EAO+M1
159,0.9993888317400297,6.115420150395796e-05,0,EAO+M1
160,0.9990790613550249,9.21787554756784e-05,0,EAO+M1
161,0.9987117583734593,0.00012899033337094204,0,EAO+M1
162,0.9979943176840516,0.0002009713162097805,0,EAO+M1
163,0.9980551642858593,0.00019486254705493864,0,EAO+M1
164,0.9973180613280265,0.0002689150809524343,0,EAO+M1
165,0.9974976983281002,0.00025085788930580434,0,EAO+M1
166,0.9932050414177934,0.0006841445923901885,0,EAO+M1
167,0.9924674510680649,0.0007589718860632436,0,EAO+M1
168,0.9917386257577573,0.0008330193084826597,0,EAO+M1
169,0.9936838225949945,0.0006356325081866366,0,EAO+M1
170,0.9951114920305077,0.0004912522876725408,0,EAO+M1
171,0.9955364868611255,0.000448352541346601,0,EAO+M1
172,0.9919396058717426,0.0008125892020586989,0,EAO+M1
173,0.9923618063661535,0.0007696984693330994,0,EAO+M1
174,0.9909320104962294,0.0009150970407373986,0,EAO+M1
175,0.9863607721435097,0.00138278287637597,0,EAO+M1
176,0.9798188436117395,0.0020596824116864386,0,EAO+M1
177,0.9822730667780001,0.001804684850023105,0,EAO+M1
178,0.9871108249455155,0.0013057475137298708,0,EAO+M1
179,0.989031604241024,0.0011090035659065826,0,EAO+M1
180,0.990340721075875,0.0009753490610414781,0,EAO+M1
181,0.9931578599650683,0.0006889277435887519,0,EAO+M1
182,0.9945283848415433,0.0005501718444495141,0,EAO+M1
183,0.995945317743455,0.0004071189636928873,0,EAO+M1
184,0.9922471513275837,0.000781342497385193,0,EAO+M1
185,0.9921007321003911,0.0007962163159465912,0,EAO+M1
186,0.9918779352409312,0.0008188572878270524,0,EAO+M1
187,0.992753564146401,0.0007299329980073778,0,EAO+M1
188,0.993554714862573,0.0006487096322942299,0,EAO+M1
189,0.9929866916765618,0.0007062842213521393,0,EAO+M1
190,0.9930334188428988,0.0007015454892967034,0,EAO+M1
191,0.9934730709273091,0.0006569809754982753,0,EAO+M1
192,0.9950475883548965,0.0004977060095478771,0,EAO+M1
193,0.9954329162662913,0.00045880376859940616,0,EAO+M1
194,0.9968605512624448,0.0003149335916221593,0,EAO+M1
195,0.9969645718295859,0.000304467004764634,0,EAO+M1
196,0.9976371217873833,0.00023684746297164528,0,EAO+M1
197,0.9984160227905208,0.00015864901737575217,0,EAO+M1
198,0.9986400558564857,0.00013617961101588903,0,EAO+M1
199,0.9991126122961055,8.881758602317531e-05,0,EAO+M1
200,0.9993581399359565,6.422723129914807e-05,0,EAO+M1
201,0.9995250282144629,4.751974909378281e-05,0,EAO+M1
202,0.9996789093937704,3.211937385218542e-05,0,EAO+M1
203,0.9997383336384572,2.6173484874831148e-05,0,EAO+M1
204,0.9997757609936754,2.242893007345895e-05,0,EAO+M1
205,0.9998092343688094,1.9080202966024962e-05,0,EAO+M1
206,0.9998667821844194,1.332355649315695e-05,0,EAO+M1
207,0.999888706685245,1.1130570233558508e-05,0,EAO+M1
208,0.9999258100722995,7.419543225417371e-06,0,EAO+M1
209,0.9999386250818928,6.137868521893685e-06,0,EAO+M1
210,0.9999525360308242,4.746622211101879e-06,0,EAO+M1
211,0.999910947612755,8.906031827899404e-06,0,EAO+M1
212,0.9998902219578043,1.0979009473738394e-05,0,EAO+M1
213,0.9997745486111393,2.2550222865127665e-05,0,EAO+M1
214,0.999791123987128,2.0891965117577355e-05,0,EAO+M1
215,0.9994855783582332,5.146864075935902e-05,0,EAO+M1
216,0.9993897026020927,6.106700882731818e-05,0,EAO+M1
217,0.9992182630612841,7.823485294602475e-05,0,EAO+M1
218,0.9985779300490756,0.00014240951137929758,0,EAO+M1
219,0.9985775836675368,0.00014244424827152208,0,EAO+M1
220,0.9988637761543316,0.00011375163188346198,0,EAO+M1
221,0.9985543205056723,0.0001447772509356981,0,EAO+M1
222,0.9984125250633845,0.00015899990202092939,0,EAO+M1
223,0.997344232702079,0.00026628391791326235,0,EAO+M1
224,0.9958779545240273,0.000413910706351843,0,EAO+M1
225,0.9954228049274674,0.0004598242123723635,0,EAO+M1
226,0.9956696579678136,0.0004349175449440428,0,EAO+M1
227,0.9967357490587025,0.0003274941171097938,0,EAO+M1
228,0.9977596182040547,0.00022454123769590243,0,EAO+M1
229,0.9990653209812961,9.35553460894726e-05,0,EAO+M1
230,0.9994450173597689,5.552908169948139e-05,0,EAO+M1
231,0.9996623493279221,3.377647185621318e-05,0,EAO+M1
232,0.9995412446078655,4.589659452366109e-05,0,EAO+M1
233,0.9996468657376076,3.532590102523604e-05,0,EAO+M1
234,0.99962970105605,3.70436116052631e-05,0,EAO+M1
235,0.999416262137303,5.840788116141948e-05,0,EAO+M1
236,0.9989189131033555,0.000108225691040919,0,EAO+M1
237,0.9975466001154074,0.00024594338593392743,0,EAO+M1
238,0.9974938624366417,0.00025124340687534164,0,EAO+M1
239,0.9963521275133149,0.00036612281802311786,0,EAO+M1
240,0.9970749355992292,0.0002933645502795538,0,EAO+M1
241,0.9974905748741656,0.00025157381824394965,0,EAO+M1
242,0.9985422192517585,0.00014599089754400817,0,EAO+M1
243,0.9988945978816592,0.0001106625384384856,0,EAO+M1
244,0.9988226247659693,0.00011787630804884553,0,EAO+M1
