t,AF,S,fed,variant
1,0.09090909090909094,1.0,0,EAO+M1a
2,0.588551346090382,0.0699087100289179,0,EAO+M1a
3,0.5571444905324763,0.07948665328167855,0,EAO+M1a
4,0.5725949308319687,0.07464353003387934,0,EAO+M1a
5,0.5840757825754261,0.07121065961519511,0,EAO+M1a
6,0.671335675198778,0.04895677928986964,0,EAO+M1a
7,0.7900172472830493,0.026579514996552665,0,EAO+M1a
8,0.8673317619911087,0.015296135091874023,0,EAO+M1a
9,0.9246783130453127,0.008145717909899364,0,EAO+M1a
10,0.9640470919864057,0.003729372591074762,0,EAO+M1a
11,0.9857320652547039,0.0014474455329409768,0,EAO+M1a
12,0.9954294408346682,0.0004591545093843463,0,EAO+M1a
13,0.9981599781364567,0.00018434137852116057,0,EAO+M1a
14,0.9993769884898444,6.233998954659136e-05,0,EAO+M1a
15,0.9997270504269639,2.7302409484628545e-05,0,EAO+M1a
16,0.9998794564118074,1.205581207010836e-05,0,EAO+M1a
17,0.9999391808215922,6.082287760523091e-06,0,EAO+M1a
18,0.9999742323326837,2.576833130609379e-06,0,EAO+M1a
19,0.9999913417265698,8.658348396551068e-07,0,EAO+M1a
20,0.9999971346246798,2.8653835306394996e-07,0,EAO+M1a
21,0.9999989308583868,1.0691427562781918e-07,0,EAO+M1a
22,0.9999993815646566,6.184357258740789e-08,0,EAO+M1a
23,0.9999997734516205,2.265484308393877e-08,0,EAO+M1a
24,0.9999999070162432,9.298376547473618e-09,0,EAO+M1a
25,0.9999999393836644,6.061633929601799e-09,0,EAO+M1a
26,0.9999999660036326,3.399636852278367e-09,0,EAO+M1a
27,0.9999999667927536,3.3207247546430586e-09,0,EAO+M1a
28,0.9999999707299494,2.9270051485946126e-09,0,EAO+M1a
29,0.9999999747487814,2.5251219179343418e-09,0,EAO+M1a
30,0.999999975862444,2.4137556516053628e-09,0,EAO+M1a
31,0.9999999769377146,2.3062285963155797e-09,0,EAO+M1a
32,0.9999999778072372,2.2192763304748155e-09,0,EAO+M1a
33,0.999999976969161,2.303083957332352e-09,0,EAO+M1a
34,0.999999977934303,2.206569748814859e-09,0,EAO+M1a
35,0.9999999772426981,2.2757302451845015e-09,0,EAO+M1a
36,0.9999999774579165,2.2542083986967105e-09,0,EAO+M1a
37,0.9999999773854831,2.2614517465851408e-09,0,EAO+M1a
38,0.9999999773854831,2.2614517465851408e-09,0,EAO+M1a
39,0.999999978968889,2.1031111403914197e-09,0,EAO+M1a
40,0.999999979351934,2.064806645134635e-09,0,EAO+M1a
41,0.9999999796437083,2.0356292019849345e-09,0,EAO+M1a
42,0.9999999796437083,2.0356292019849345e-09,0,EAO+M1a
43,0.9999999806747661,1.9325234199790895e-09,0,EAO+M1a
44,0.9999999806747661,1.9325234199790895e-09,0,EAO+M1a
45,0.9999999799239565,2.007604385868659e-09,0,EAO+M1a
46,0.9999999800769477,1.992305276173424e-09,0,EAO+M1a
47,0.9999999800769477,1.992305276173424e-09,0,EAO+M1a
48,0.9999999792914537,2.07085467426854e-09,0,EAO+M1a
49,0.9999999803019923,1.9698008068060998e-09,0,EAO+M1a
50,0.9999999807145709,1.9285429554884994e-09,0,EAO+M1a
51,0.9999999807145709,1.9285429554884994e-09,0,EAO+M1a
52,0.9999999813465653,1.865343501664049e-09,0,EAO+M1a
53,0.9999999809204038,1.907959663006851e-09,0,EAO+M1a
54,0.9999999801055468,1.9894453616613013e-09,0,EAO+M1a
55,0.9999999801055468,1.9894453616613013e-09,0,EAO+M1a
56,0.9999999801344205,1.9865579959134622e-09,0,EAO+M1a
57,0.9999999801344205,1.9865579959134622e-09,0,EAO+M1a
58,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
59,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
60,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
61,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
62,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
63,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
64,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
65,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
66,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
67,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
68,0.9999999796263863,2.0373614123889815e-09,0,EAO+M1a
69,0.9999999800522206,1.994777984896849e-09,0,EAO+M1a
70,0.9999999800522206,1.994777984896849e-09,0,EAO+M1a
71,0.9999999807068679,1.9293132497336537e-09,0,EAO+M1a
72,0.9999999807068679,1.9293132497336537e-09,0,EAO+M1a
73,0.9999999812140056,1.878599482341281e-09,0,EAO+M1a
74,0.9999999816207797,1.8379220618726357e-09,0,EAO+M1a
75,0.9999999816207797,1.8379220618726357e-09,0,EAO+M1a
76,0.9999999802266228,1.9773377494388665e-09,0,EAO+M1a
