t,AF,variant
1,0.044721359549995794,EAO+M2
2,0.06324555320336758,EAO+M2
3,0.07745966692414834,EAO+M2
4,0.08944271909999159,EAO+M2
5,0.1,EAO+M2
6,0.10954451150103323,EAO+M2
7,0.11832159566199232,EAO+M2
8,0.12649110640673517,EAO+M2
9,0.1341640786499874,EAO+M2
10,0.1414213562373095,EAO+M2
11,0.14832396974191325,EAO+M2
12,0.15491933384829668,EAO+M2
13,0.161245154965971,EAO+M2
14,0.1673320053068151,EAO+M2
15,0.17320508075688773,EAO+M2
16,0.17888543819998318,EAO+M2
17,0.18439088914585774,EAO+M2
18,0.18973665961010275,EAO+M2
19,0.19493588689617927,EAO+M2
20,0.2,EAO+M2
21,0.20493901531919198,EAO+M2
22,0.20976176963403032,EAO+M2
23,0.21447610589527216,EAO+M2
24,0.21908902300206645,EAO+M2
25,0.22360679774997896,EAO+M2
26,0.22803508501982758,EAO+M2
27,0.232379000772445,EAO+M2
28,0.23664319132398465,EAO+M2
29,0.24083189157584592,EAO+M2
30,0.2449489742783178,EAO+M2
31,0.24899799195977465,EAO+M2
32,0.25298221281347033,EAO+M2
33,0.2569046515733026,EAO+M2
34,0.260768096208106,EAO+M2
35,0.2645751311064591,EAO+M2
36,0.2683281572999748,EAO+M2
37,0.2720294101747089,EAO+M2
38,0.27568097504180444,EAO+M2
39,0.2792848008753788,EAO+M2
40,0.282842712474619,EAO+M2
41,0.2863564212655271,EAO+M2
42,0.28982753492378877,EAO+M2
43,0.29325756597230357,EAO+M2
44,0.2966479394838265,EAO+M2
45,0.3,EAO+M2
46,0.30331501776206204,EAO+M2
47,0.3065941943351178,EAO+M2
48,0.30983866769659335,EAO+M2
49,0.31304951684997057,EAO+M2
50,0.31622776601683794,EAO+M2
51,0.31937438845342625,EAO+M2
52,0.322490309931942,EAO+M2
53,0.3255764119219941,EAO+M2
54,0.3286335345030997,EAO+M2
55,0.33166247903553997,EAO+M2
56,0.3346640106136302,EAO+M2
57,0.33763886032268264,EAO+M2
58,0.34058772731852804,EAO+M2
59,0.34351128074635334,EAO+M2
60,0.34641016151377546,EAO+M2
61,0.3492849839314596,EAO+M2
62,0.35213633723318016,EAO+M2
63,0.35496478698597694,EAO+M2
64,0.35777087639996635,EAO+M2
65,0.36055512754639896,EAO+M2
66,0.363318042491699,EAO+M2
67,0.36606010435446257,EAO+M2
68,0.3687817782917155,EAO+M2
69,0.3714835124201342,EAO+M2
70,0.37416573867739417,EAO+M2
71,0.37682887362833545,EAO+M2
72,0.3794733192202055,EAO+M2
73,0.382099463490856,EAO+M2
74,0.3847076812334269,EAO+M2
75,0.3872983346207417,EAO+M2
76,0.38987177379235854,EAO+M2
77,0.3924283374069717,EAO+M2
78,0.39496835316262996,EAO+M2
79,0.39749213828703583,EAO+M2
80,0.4,EAO+M2
81,0.40249223594996214,EAO+M2
82,0.4049691346263318,EAO+M2
83,0.4074309757492673,EAO+M2
84,0.40987803063838396,EAO+M2
85,0.41231056256176607,EAO+M2
86,0.4147288270665544,EAO+M2
87,0.4171330722922842,EAO+M2
88,0.41952353926806063,EAO+M2
89,0.4219004621945797,EAO+M2
90,0.4242640687119285,EAO+M2
91,0.4266145801540308,EAO+M2
92,0.4289522117905443,EAO+M2
93,0.4312771730569565,EAO+M2
94,0.433589667773576,EAO+M2
95,0.43588989435406733,EAO+M2
96,0.4381780460041329,EAO+M2
97,0.4404543109109048,EAO+M2
98,0.4427188724235731,EAO+M2
99,0.4449719092257398,EAO+M2
100,0.4472135954999579,EAO+M2
101,0.44944410108488464,EAO+M2
102,0.45166359162544856,EAO+M2
103,0.4538722287164087,EAO+M2
104,0.45607017003965516,EAO+M2
105,0.458257569495584,EAO+M2
106,0.4604345773288535,EAO+M2
107,0.4626013402488151,EAO+M2
108,0.46475800154489,EAO+M2
109,0.4669047011971501,EAO+M2
110,0.469041575982343,EAO+M2
111,0.47116875957558985,EAO+M2
112,0.4732863826479693,EAO+M2
113,0.4753945729601885,EAO+M2
114,0.4774934554525329,EAO+M2
115,0.47958315233127197,EAO+M2
116,0.48166378315169184,EAO+M2
117,0.48373546489791297,EAO+M2
118,0.48579831205964474,EAO+M2
119,0.4878524367060187,EAO+M2
120,0.4898979485566356,EAO+M2
121,0.4919349550499537,EAO+M2
122,0.4939635614091388,EAO+M2
123,0.49598387070548977,EAO+M2
124,0.4979959839195493,EAO+M2
125,0.5,EAO+M2
126,0.5019960159204453,EAO+M2
127,0.5039841267341661,EAO+M2
128,0.5059644256269407,EAO+M2
129,0.5079370039680118,EAO+M2
130,0.5099019513592785,EAO+M2
131,0.5118593556827891,EAO+M2
132,0.5138093031466052,EAO+M2
133,0.5157518783291051,EAO+M2
134,0.5176871642217914,EAO+M2
135,0.5196152422706632,EAO+M2
136,0.521536192416212,EAO+M2
137,0.523450093132096,EAO+M2
138,0.5253570214625479,EAO+M2
139,0.5272570530585627,EAO+M2
140,0.5291502622129182,EAO+M2
141,0.5310367218940701,EAO+M2
142,0.532916503778969,EAO+M2
143,0.5347896782848375,EAO+M2
144,0.5366563145999496,EAO+M2
145,0.5385164807134504,EAO+M2
146,0.5403702434442518,EAO+M2
147,0.5422176684690383,EAO+M2
148,0.5440588203494178,EAO+M2
149,0.5458937625582472,EAO+M2
150,0.5477225575051661,EAO+M2
151,0.5495452665613635,EAO+M2
152,0.5513619500836089,EAO+M2
153,0.5531726674375732,EAO+M2
154,0.5549774770204643,EAO+M2
155,0.5567764362830022,EAO+M2
156,0.5585696017507576,EAO+M2
157,0.5603570290448759,EAO+M2
158,0.5621387729022078,EAO+M2
159,0.5639148871948674,EAO+M2
160,0.565685424949238,EAO+M2
161,0.5674504383644443,EAO+M2
162,0.5692099788303083,EAO+M2
163,0.5709640969448079,EAO+M2
164,0.5727128425310541,EAO+M2
165,0.5744562646538028,EAO+M2
166,0.5761944116355173,EAO+M2
