t,AF,S,fed,variant
1,0.09090909090909094,1.0,0,KE-EAO
2,0.09090909090909094,1.0,0,KE-EAO
3,0.09090909090909094,1.0,0,KE-EAO
4,0.09090909090909094,1.0,0,KE-EAO
5,0.09200764398628836,0.9868662174949594,0,KE-EAO
6,0.10482846695719283,0.8539393535234607,0,KE-EAO
7,0.11160193114692118,0.7960418423974441,0,KE-EAO
8,0.10967176543963253,0.8118117101437906,0,KE-EAO
9,0.11221178157654033,0.7911720195066092,0,KE-EAO
10,0.10625742269920069,0.8411107239358273,0,KE-EAO
11,0.10048872421027466,0.8951365268679099,0,KE-EAO
12,0.10501801654895448,0.8522175650059496,0,KE-EAO
13,0.11259224218549913,0.7881606588422576,0,KE-EAO
14,0.11479862309569466,0.7710905871810091,0,KE-EAO
15,0.11119102176908213,0.7993531888543725,0,KE-EAO
16,0.10802420863246187,0.8257184224347045,0,KE-EAO
17,0.11331104470857589,0.7825265026652036,0,KE-EAO
18,0.11737369007108722,0.7519796893105697,0,KE-EAO
19,0.11592824301835214,0.7626025668668971,0,KE-EAO
20,0.10521766187776804,0.8504107790968646,0,KE-EAO
21,0.09863743399687963,0.9138138833088825,0,KE-EAO
22,0.09979616124339896,0.9020425510767275,0,KE-EAO
23,0.10011552952278835,0.8988460379389784,0,KE-EAO
24,0.10264864238307736,0.874197005224942,0,KE-EAO
25,0.0996269732866617,0.9037442341268871,0,KE-EAO
26,0.09668116416433059,0.9343276362501012,0,KE-EAO
27,0.09513929390897313,0.9510904158662085,0,KE-EAO
28,0.09551382870344338,0.9469688144371802,0,KE-EAO
29,0.09662939338995113,0.9348817941601553,0,KE-EAO
30,0.09740060579790277,0.9266876594945501,0,KE-EAO
31,0.10092380864069783,0.8908464746511227,0,KE-EAO
32,0.10333407462613964,0.867734993145269,0,KE-EAO
33,0.1039506963701734,0.8619945175152576,0,KE-EAO
34,0.09956967436355157,0.9043218544119888,0,KE-EAO
35,0.10123938088622075,0.8877579171724324,0,KE-EAO
36,0.10236418160161542,0.8769042103924937,0,KE-EAO
37,0.09608144800829,0.9407836483831077,0,KE-EAO
38,0.09633275965417687,0.9380684655872848,0,KE-EAO
39,0.10189769816079852,0.8813764373970071,0,KE-EAO
40,0.1126286381492877,0.7878736495726014,0,KE-EAO
41,0.11549691243209592,0.7658240111725324,0,KE-EAO
42,0.11228913999767043,0.7905580717963877,0,KE-EAO
43,0.11681036036043368,0.7560884470473066,0,KE-EAO
44,0.11721314137129168,0.7531466594111128,0,KE-EAO
45,0.11721314137129168,0.7531466594111128,0,KE-EAO
46,0.11846449642730428,0.7441347662450494,0,KE-EAO
47,0.12096353319342201,0.7266954292753574,0,KE-EAO
48,0.11810639410348067,0.7466942095648395,0,KE-EAO
49,0.11188469198715867,0.7937773186297662,0,KE-EAO
50,0.11177644543519138,0.7946428705140791,0,KE-EAO
51,0.11177326923725239,0.7946682930758495,0,KE-EAO
52,0.1109066578590645,0.8016591242617347,0,KE-EAO
53,0.1105148104819631,0.8048560963358009,0,KE-EAO
54,0.11128146580445086,0.7986222393558758,0,KE-EAO
55,0.11107212623000717,0.8003158883707768,0,KE-EAO
56,0.11762359572203862,0.7501695547236482,0,KE-EAO
57,0.12084402853275822,0.7275129620731908,0,KE-EAO
58,0.1195879650055589,0.7362045461293002,0,KE-EAO
59,0.1189089579738073,0.7409795334513611,0,KE-EAO
60,0.12156473773071064,0.7226069653645723,0,KE-EAO
61,0.12248407516085336,0.7164326657867487,0,KE-EAO
62,0.1231458034880667,0.7120455360031038,0,KE-EAO
63,0.12661459363241145,0.6897983726135141,0,KE-EAO
64,0.1365894313674203,0.6321210652894796,0,KE-EAO
65,0.1353197338395764,0.6389905164796698,0,KE-EAO
66,0.13680597256333127,0.6309622389015742,0,KE-EAO
67,0.13813444776359196,0.6239323834062261,0,KE-EAO
68,0.1381662691116129,0.6237656531003121,0,KE-EAO
69,0.14021263746199752,0.6132024745423069,0,KE-EAO
70,0.14162131461871863,0.6061084009086198,0,KE-EAO
71,0.1536646428735543,0.5507677897139079,0,KE-EAO
72,0.15373637566199938,0.5504641440218239,0,KE-EAO
73,0.15675056001755006,0.5379562534819894,0,KE-EAO
74,0.15619944750114056,0.5402071300493543,0,KE-EAO
75,0.1610208715632515,0.5210375029594747,0,KE-EAO
76,0.15856537618809974,0.5306547015747878,0,KE-EAO
77,0.15821283953653087,0.5320599534964433,0,KE-EAO
78,0.15896706720020315,0.5290611115952711,0,KE-EAO
79,0.16169776859600338,0.5184377240841631,0,KE-EAO
80,0.16202477724980113,0.5171895539521423,0,KE-EAO
81,0.1628460813691599,0.5140767966857457,0,KE-EAO
82,0.15923402301230005,0.5280064907502555,0,KE-EAO
83,0.15997842659572004,0.525084282474593,0,KE-EAO
84,0.15989854915908608,0.5253965437829463,0,KE-EAO
85,0.16082409908547213,0.5217973585342683,0,KE-EAO
86,0.1612723389580667,0.520069136753833,0,KE-EAO
87,0.16395134333049333,0.5099370579624948,0,KE-EAO
88,0.17295432580997194,0.4781873308556146,0,KE-EAO
89,0.17240828558457144,0.48001852788534916,0,KE-EAO
90,0.18191214227349906,0.44971591643208303,0,KE-EAO
91,0.1846539350974673,0.4415535820951567,0,KE-EAO
92,0.18388658861117335,0.4438134491224326,0,KE-EAO
93,0.1840828027985948,0.44323379739828356,0,KE-EAO
94,0.18357069015691108,0.4447492729614013,0,KE-EAO
95,0.18437080531008476,0.44238522108646566,0,KE-EAO
96,0.18501533442226736,0.4404957395140356,0,KE-EAO
97,0.19107437198635568,0.4233564237863402,0,KE-EAO
98,0.1913925742763184,0.4224863105484304,0,KE-EAO
99,0.18946099536093963,0.4278131248571312,0,KE-EAO
100,0.19056848868575815,0.42474572627218043,0,KE-EAO
101,0.1895941146379252,0.4274425326491473,0,KE-EAO
102,0.19036304173278396,0.4253120515923034,0,KE-EAO
103,0.19147998920304166,0.4222477837825753,0,KE-EAO
104,0.19321356077529983,0.41756201582712055,0,KE-EAO
105,0.19259755126728217,0.4192174009586575,0,KE-EAO
106,0.19315926444463227,0.41770750053080835,0,KE-EAO
107,0.1954981870359892,0.4115136949151913,0,KE-EAO
108,0.1968590128185701,0.4079777581337479,0,KE-EAO
109,0.19879255439334054,0.40303694876889185,0,KE-EAO
110,0.19912270497141504,0.40220290053992314,0,KE-EAO
111,0.20575467620206722,0.3860156855039938,0,KE-EAO
112,0.20583521365564406,0.3858255214158687,0,KE-EAO
113,0.20186348016034994,0.3953843058713005,0,KE-EAO
114,0.2025988169309777,0.3935862978610999,0,KE-EAO
115,0.2071968798114885,0.3826327505075453,0,KE-EAO
116,0.20890932167457876,0.3786765817744197,0,KE-EAO
117,0.2135699340520073,0.36823070131045965,0,KE-EAO
118,0.21297567997379496,0.36953717913850187,0,KE-EAO
119,0.21155173516157033,0.3726976118802622,0,KE-EAO
120,0.21208788992479854,0.37150263994543825,0,KE-EAO
121,0.2128173762140303,0.3698864433862301,0,KE-EAO
122,0.21276903255366386,0.3699932071871331,0,KE-EAO
123,0.21400812102981392,0.3672719872442072,0,KE-EAO
124,0.213777885918631,0.3677752311483818,0,KE-EAO
125,0.21999115155869342,0.35456373718431183,0,KE-EAO
126,0.22036219560414727,0.3537983465169195,0,KE-EAO
127,0.22012811738082538,0.35428090327506107,0,KE-EAO
128,0.2192286090547867,0.356144845470462,0,KE-EAO
129,0.2189388553177678,0.3567485285097525,0,KE-EAO
130,0.21903998490508947,0.3565376501615915,0,KE-EAO
131,0.22207661174936377,0.3502950545411791,0,KE-EAO
132,0.2231943052016725,0.3480401052779667,0,KE-EAO
133,0.2231943052016725,0.3480401052779667,0,KE-EAO
134,0.22362147789777875,0.3471842371317827,0,KE-EAO
135,0.22347636318848363,0.34747461688222625,0,KE-EAO
136,0.22378426904313609,0.3468589343995591,0,KE-EAO
137,0.22378426904313609,0.3468589343995591,0,KE-EAO
138,0.2248324142332515,0.3447757248038771,0,KE-EAO
139,0.2279539139906691,0.33868516337075644,0,KE-EAO
140,0.22941243898210884,0.3358961547320401,0,KE-EAO
141,0.23179338517896397,0.3314186961064122,0,KE-EAO
